specialist_mode,context_id,method_role,beta,round,actor_sha256,success_rate,fall_rate,success_delta_from_pi0,fall_delta_from_pi0,repair_rate_from_pi0,regression_rate_from_pi0
lateral,L3,v21,0.0,5,ce1d0eec2fd1e33f88c736f8bd008a398d5c26963b467b695885a871acd5841f,0.828125,0.171875,0.0234375,-0.0234375,0.58,0.11165048543689321
lateral,L3,v21,0.0,6,b1964620a5b78c54463194c1137e52af500632a047441eb4da5c2399c4c4988b,0.7734375,0.2265625,-0.03125,0.03125,0.48,0.1553398058252427
lateral,L3,v21,0.0,7,1c95295ef90a863e1e84e9fba0df220a926b62f094fb27bd2a6df605cc3a4322,0.7890625,0.2109375,-0.015625,0.015625,0.58,0.16019417475728157
lateral,L3,v21,0.0,8,1c95295ef90a863e1e84e9fba0df220a926b62f094fb27bd2a6df605cc3a4322,0.81640625,0.18359375,0.01171875,-0.01171875,0.54,0.11650485436893204
lateral,L4,control,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.8125,0.18359375,0.0,0.0,0.0,0.0
lateral,L4,control,0.0,1,2b57203aac342ce317185c1202d73f7d6c67873cf69c75cb320b1f00628c6110,0.8203125,0.1796875,0.0078125,-0.00390625,0.3541666666666667,0.07211538461538461
lateral,L4,control,0.0,2,2b57203aac342ce317185c1202d73f7d6c67873cf69c75cb320b1f00628c6110,0.8359375,0.1640625,0.0234375,-0.01953125,0.375,0.057692307692307696
lateral,L4,control,0.0,3,1da45b147aacee5852b425f49d0ea3f809c6d509e50b1a64190f6aed265c1a90,0.8125,0.1875,0.0,0.00390625,0.375,0.08653846153846154
lateral,L4,control,0.0,4,1da45b147aacee5852b425f49d0ea3f809c6d509e50b1a64190f6aed265c1a90,0.8203125,0.1796875,0.0078125,-0.00390625,0.3541666666666667,0.07211538461538461
lateral,L4,control,0.0,5,95ccc220a210d2c5b0697aa4c9157f5f46cc9344dfe35825c476585b6fa8dade,0.78125,0.21875,-0.03125,0.03515625,0.3333333333333333,0.11538461538461539
lateral,L4,control,0.0,6,95ccc220a210d2c5b0697aa4c9157f5f46cc9344dfe35825c476585b6fa8dade,0.81640625,0.18359375,0.00390625,0.0,0.3958333333333333,0.08653846153846154
lateral,L4,control,0.0,7,95ccc220a210d2c5b0697aa4c9157f5f46cc9344dfe35825c476585b6fa8dade,0.81640625,0.18359375,0.00390625,0.0,0.3125,0.0673076923076923
lateral,L4,control,0.0,8,25a21b243877f4fb6de52de0762253c9182cd4b988da1d6d67eff42b25e54b35,0.83203125,0.16796875,0.01953125,-0.015625,0.3541666666666667,0.057692307692307696
lateral,L4,v21,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.7890625,0.2109375,0.0,0.0,0.0,0.0
lateral,L4,v21,0.0,1,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.7734375,0.2265625,-0.015625,0.015625,0.2962962962962963,0.09900990099009901
lateral,L4,v21,0.0,2,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.796875,0.203125,0.0078125,-0.0078125,0.37037037037037035,0.0891089108910891
lateral,L4,v21,0.0,3,a56753c20a6448102f1f84edde2a48be02b283fc0eaa4282b89e70202cfca7c8,0.80859375,0.19140625,0.01953125,-0.01953125,0.3888888888888889,0.07920792079207921
lateral,L4,v21,0.0,4,a56753c20a6448102f1f84edde2a48be02b283fc0eaa4282b89e70202cfca7c8,0.79296875,0.20703125,0.00390625,-0.00390625,0.3888888888888889,0.09900990099009901
lateral,L4,v21,0.0,5,a56753c20a6448102f1f84edde2a48be02b283fc0eaa4282b89e70202cfca7c8,0.78515625,0.21484375,-0.00390625,0.00390625,0.3333333333333333,0.09405940594059406
lateral,L4,v21,0.0,6,abc2603884a63d618933ffc89fb3920a91adec41d0d35be1ce3f41b894a14289,0.8125,0.1875,0.0234375,-0.0234375,0.42592592592592593,0.08415841584158416
lateral,L4,v21,0.0,7,6a64f859ab5e530faafc315121741857f89d7cfbf23d756abceebb703cc17090,0.80859375,0.19140625,0.01953125,-0.01953125,0.37037037037037035,0.07425742574257425
lateral,L4,v21,0.0,8,6a64f859ab5e530faafc315121741857f89d7cfbf23d756abceebb703cc17090,0.8359375,0.1640625,0.046875,-0.046875,0.46296296296296297,0.06435643564356436
lateral,L5,control,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.76953125,0.23046875,0.0,0.0,0.0,0.0
lateral,L5,control,0.0,1,e9411b68ff77181b41fcfcee5ec8cffcc475e454e7a42c177a7936bc2997e5c0,0.74609375,0.25390625,-0.0234375,0.0234375,0.23728813559322035,0.10152284263959391
lateral,L5,control,0.0,2,e9411b68ff77181b41fcfcee5ec8cffcc475e454e7a42c177a7936bc2997e5c0,0.7265625,0.2734375,-0.04296875,0.04296875,0.2711864406779661,0.13705583756345177
