specialist_mode,policy_role,metric,phase_bin,normalized_episode_phase,trace_count,same_rollout_success_trace_count,mean,q25,q75,post_audit_replay_used
lateral,base,abs_centerline_error,18,0.18,40,29,0.09461266053467991,0.03885704819113014,0.15162344925105573,False
lateral,base,abs_centerline_error,19,0.19,40,29,0.09402123133105304,0.04366138331592083,0.14668591670691966,False
lateral,base,abs_centerline_error,20,0.2,40,29,0.09170785960392094,0.0418191434815526,0.14007646888494493,False
lateral,base,abs_centerline_error,21,0.21,40,29,0.09083523707155838,0.03366580966394396,0.14324415057897566,False
lateral,base,abs_centerline_error,22,0.22,40,29,0.0941920518714469,0.027714003445580598,0.15436615228652956,False
lateral,base,abs_centerline_error,23,0.23,40,29,0.09860681981862582,0.034267243780195675,0.1718303517252207,False
lateral,base,abs_centerline_error,24,0.24,40,29,0.10217455486742437,0.020812963265925653,0.18424529388546942,False
lateral,base,abs_centerline_error,25,0.25,40,29,0.10919001129223034,0.03263621055521071,0.18358976300805807,False
lateral,base,abs_centerline_error,26,0.26,40,29,0.1105673200924648,0.04629883807152511,0.17849525839090347,False
lateral,base,abs_centerline_error,27,0.27,40,29,0.1102237132619776,0.04031752282753598,0.1738488433882594,False
lateral,base,abs_centerline_error,28,0.28,40,29,0.11196512395795435,0.037357076965272365,0.17891064822673802,False
lateral,base,abs_centerline_error,29,0.29,40,29,0.11188081833782053,0.0360220515076071,0.17659953411668544,False
lateral,base,abs_centerline_error,30,0.3,40,29,0.11429684128568625,0.03201571288518609,0.18226740993559357,False
lateral,base,abs_centerline_error,31,0.31,40,29,0.1186695609574963,0.0348796743247658,0.18379304829984905,False
lateral,base,abs_centerline_error,32,0.32,40,29,0.12217925027490129,0.03807024829089641,0.17939000606536865,False
lateral,base,abs_centerline_error,33,0.33,40,29,0.12565982838161288,0.03354223329573867,0.1992234289646149,False
lateral,base,abs_centerline_error,34,0.34,40,29,0.12947184575069695,0.030883560925722205,0.21477130435407166,False
lateral,base,abs_centerline_error,35,0.35000000000000003,40,29,0.13307699953060362,0.04154638564214104,0.22246678806841375,False
lateral,base,abs_centerline_error,36,0.36,40,29,0.13361022369586867,0.031663103345781575,0.22599438965320587,False
lateral,base,abs_centerline_error,37,0.37,40,29,0.13352024407591667,0.03505431487225003,0.20614230401813982,False
lateral,base,abs_centerline_error,38,0.38,40,29,0.13475719955636303,0.03514424379915,0.21372097596526143,False
lateral,base,abs_centerline_error,39,0.39,40,29,0.14011869130877316,0.03288303755223753,0.22659594334661962,False
lateral,base,abs_centerline_error,40,0.4,40,29,0.14759018803830262,0.04576282519847158,0.23684686645865444,False
lateral,base,abs_centerline_error,41,0.41000000000000003,40,29,0.15350651727704098,0.07269278023391965,0.24295143611729145,False
lateral,base,abs_centerline_error,42,0.42,40,29,0.15620907696383074,0.06540045894682407,0.24579949371516704,False
lateral,base,abs_centerline_error,43,0.43,40,29,0.16118025434130684,0.057291315291076936,0.2418594916164875,False
lateral,base,abs_centerline_error,44,0.44,40,29,0.16538579301396386,0.07188310362398626,0.23603593617677687,False
lateral,base,abs_centerline_error,45,0.45,40,29,0.17411412083689357,0.07192058926448233,0.2277473475784063,False
lateral,base,abs_centerline_error,46,0.46,40,29,0.1850068755230168,0.0897420129179955,0.2424436040967703,False
lateral,base,abs_centerline_error,47,0.47000000000000003,40,29,0.19182266236282886,0.09475058093667038,0.27895598590374004,False
lateral,base,abs_centerline_error,48,0.48,40,29,0.19581635788863055,0.10295077465474606,0.300628100335598,False
lateral,base,abs_centerline_error,49,0.49,40,29,0.20365762646845548,0.12073544858023523,0.30417196080088615,False
lateral,base,abs_centerline_error,50,0.5,40,29,0.21575552853755653,0.13431169465184212,0.3321583867073059,False
lateral,base,abs_centerline_error,51,0.51,40,29,0.22849445491656667,0.12947631441056728,0.3508157452940941,False
lateral,base,abs_centerline_error,52,0.52,40,29,0.2392356496714056,0.13488628923892973,0.3472940206527709,False
lateral,base,abs_centerline_error,53,0.53,40,29,0.24581602872908123,0.14185587111860515,0.33825033187866216,False
lateral,base,abs_centerline_error,54,0.54,40,29,0.2509899832513183,0.15750226065516482,0.36143339797854424,False
lateral,base,abs_centerline_error,55,0.55,40,29,0.259302375530824,0.1573852628469467,0.3719187278300524,False
lateral,base,abs_centerline_error,56,0.56,40,29,0.271280449293554,0.16405197232961655,0.3899237495660782,False
