context_id,specialist_mode,policy_role,evaluation_seed,environment_id,telemetry_rows,episode_steps,success,fell,failure_type,same_rollout_outcome_bound,abs_centerline_error_mean,abs_centerline_error_max,abs_heading_error_mean,abs_heading_error_max,abs_centerline_error_rate_mean,abs_centerline_error_rate_max,abs_heading_error_rate_mean,abs_heading_error_rate_max,command_vy_mean,command_vy_max,command_wz_mean,command_wz_max,cbf_correction_norm_mean,cbf_correction_norm_max,maximum_slip_speed_mean,maximum_slip_speed_max,contact_phase_mismatch_mean,contact_phase_mismatch_max,abs_roll_rad_mean,abs_roll_rad_max,abs_pitch_rad_mean,abs_pitch_rad_max,angular_velocity_norm_mean,angular_velocity_norm_max
C4,contact_stability,v21,79180004,0,651,651,1,0,success,True,,,,,,,,,,,,,0.0012614582035629092,0.24053414165973663,0.21197955677079783,2.0,0.1359447004608295,1.0,0.060345732113488565,0.22580976784229279,0.12652526603391048,0.374472975730896,2.0259804365363903,5.470159530639648
C4,contact_stability,v21,79180005,0,693,693,1,0,success,True,,,,,,,,,,,,,0.003477885335935686,0.32953473925590515,0.19983695863255918,2.0,0.13852813852813853,1.0,0.057580236362166325,0.23716261982917786,0.12711752378508348,0.3745861351490021,2.0066208043397764,4.484142780303955
C4,contact_stability,v21,79180006,0,708,708,1,0,success,True,,,,,,,,,,,,,0.0025131456781834955,0.21859174966812134,0.21141099028343086,2.0,0.1384180790960452,1.0,0.05364218062155062,0.20313340425491333,0.12590313477139986,0.3799533247947693,1.9200756497639047,4.963552474975586
C4,contact_stability,v21,79180007,0,620,620,1,0,success,True,,,,,,,,,,,,,0.0019295492370045837,0.3201020061969757,0.22087696375017385,2.0,0.13306451612903225,1.0,0.06165118278188748,0.21845005452632904,0.12693076121110025,0.3883105218410492,2.0585425167554807,4.92834997177124
C5,contact_stability,base,79190000,0,731,731,1,0,success,True,,,,,,,,,,,,,0.004550380703332246,0.7351805567741394,0.2240585575457382,2.0,0.12448700410396717,1.0,0.05306740255285984,0.19615891575813293,0.12886355784713333,0.37221580743789673,1.9730217473940712,4.816473007202148
C5,contact_stability,base,79190001,0,810,810,1,0,success,True,,,,,,,,,,,,,0.008791856091545893,0.6624061465263367,0.22924313363552676,2.0,0.12530864197530864,1.0,0.05592399268902789,0.22838738560676575,0.12715120449127423,0.38533830642700195,1.9633325697647201,5.710153102874756
C5,contact_stability,base,79190002,0,737,737,1,0,success,True,,,,,,,,,,,,,0.008004918384789573,0.9241926670074463,0.21835898213894733,2.0,0.12143826322930801,1.0,0.060281177225348294,0.25132086873054504,0.13127892102955516,0.42756232619285583,2.0622557232629006,6.093058109283447
C5,contact_stability,base,79190003,0,708,708,1,0,success,True,,,,,,,,,,,,,0.004130450767433361,0.46039441227912903,0.2249992436684647,2.0,0.12146892655367232,1.0,0.05586216357479877,0.19955772161483765,0.12827344877931193,0.3787291944026947,2.032390834626842,4.592151641845703
C5,contact_stability,base,79190004,0,828,828,1,0,success,True,,,,,,,,,,,,,0.009143572657688233,0.8471007943153381,0.2355395317566075,2.0,0.14251207729468598,1.0,0.05972888073823618,0.25879111886024475,0.1317542687718573,0.3666817247867584,2.037680891526926,7.5822014808654785
C5,contact_stability,base,79190005,0,433,433,0,1,contact_stability,True,,,,,,,,,,,,,0.014442563553238976,0.49482500553131104,0.2193186108598821,2.0,0.14780600461893764,1.0,0.07330170267800021,0.6479049324989319,0.13877771265600986,1.1074588298797607,2.143903875598731,7.0309600830078125
