specialist_mode,method_role,round,metric,context_count,mean,lcb95,ucb95,evidence_role
contact_stability,control,0,fall_delta_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
contact_stability,control,0,repair_rate_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
contact_stability,control,0,regression_rate_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
contact_stability,control,1,success_rate,5,0.78671875,0.7671875,0.8046875,post-training unseen frozen monitor only
contact_stability,control,1,fall_rate,5,0.21328125,0.1953125,0.2328125,post-training unseen frozen monitor only
contact_stability,control,1,success_delta_from_pi0,5,-0.009375,-0.0296875,0.0125,post-training unseen frozen monitor only
contact_stability,control,1,fall_delta_from_pi0,5,0.009375,-0.0125,0.0296875,post-training unseen frozen monitor only
contact_stability,control,1,repair_rate_from_pi0,5,0.1319833555682612,0.08612794612794612,0.18709484784956482,post-training unseen frozen monitor only
contact_stability,control,1,regression_rate_from_pi0,5,0.04600672761820007,0.02373979160799775,0.06433731454904185,post-training unseen frozen monitor only
contact_stability,control,2,success_rate,5,0.80234375,0.784375,0.821875,post-training unseen frozen monitor only
contact_stability,control,2,fall_rate,5,0.19765625,0.178125,0.215625,post-training unseen frozen monitor only
contact_stability,control,2,success_delta_from_pi0,5,0.00625,-0.01875,0.03125,post-training unseen frozen monitor only
contact_stability,control,2,fall_delta_from_pi0,5,-0.00625,-0.03125,0.01875,post-training unseen frozen monitor only
contact_stability,control,2,repair_rate_from_pi0,5,0.17350867162187916,0.09494949494949496,0.2538593481989708,post-training unseen frozen monitor only
contact_stability,control,2,regression_rate_from_pi0,5,0.0370318405643545,0.022757936406830888,0.05130574472187811,post-training unseen frozen monitor only
contact_stability,control,3,success_rate,5,0.78984375,0.77734375,0.80234375,post-training unseen frozen monitor only
contact_stability,control,3,fall_rate,5,0.21015625,0.19765625,0.22265625,post-training unseen frozen monitor only
contact_stability,control,3,success_delta_from_pi0,5,-0.00625,-0.02734375,0.01484375,post-training unseen frozen monitor only
contact_stability,control,3,fall_delta_from_pi0,5,0.00625,-0.01484375,0.02734375,post-training unseen frozen monitor only
contact_stability,control,3,repair_rate_from_pi0,5,0.11394955847786034,0.0774614065180103,0.15529635982466167,post-training unseen frozen monitor only
contact_stability,control,3,regression_rate_from_pi0,5,0.03691385419947496,0.020846263730850696,0.055290121564313385,post-training unseen frozen monitor only
contact_stability,control,4,success_rate,5,0.79375,0.76796875,0.8125,post-training unseen frozen monitor only
contact_stability,control,4,fall_rate,5,0.20625,0.1875,0.23203125,post-training unseen frozen monitor only
contact_stability,control,4,success_delta_from_pi0,5,-0.00234375,-0.03046875,0.021875,post-training unseen frozen monitor only
contact_stability,control,4,fall_delta_from_pi0,5,0.00234375,-0.021875,0.03046875,post-training unseen frozen monitor only
contact_stability,control,4,repair_rate_from_pi0,5,0.12862969315799505,0.08891938250428816,0.17696969696969694,post-training unseen frozen monitor only
contact_stability,control,4,regression_rate_from_pi0,5,0.03607145058193089,0.015900694547066645,0.06065307351152038,post-training unseen frozen monitor only
contact_stability,control,5,success_rate,5,0.7828125,0.7625,0.80078125,post-training unseen frozen monitor only
contact_stability,control,5,fall_rate,5,0.2171875,0.19921875,0.2375,post-training unseen frozen monitor only
contact_stability,control,5,success_delta_from_pi0,5,-0.01328125,-0.02734375,0.00078125,post-training unseen frozen monitor only
contact_stability,control,5,fall_delta_from_pi0,5,0.01328125,-0.00078125,0.02734375,post-training unseen frozen monitor only
contact_stability,control,5,repair_rate_from_pi0,5,0.10584270376723207,0.06124579124579125,0.14192109777015435,post-training unseen frozen monitor only
contact_stability,control,5,regression_rate_from_pi0,5,0.043048547009481464,0.03172315761095998,0.054373936408002956,post-training unseen frozen monitor only
contact_stability,control,6,success_rate,5,0.7703125,0.73359375,0.79921875,post-training unseen frozen monitor only
contact_stability,control,6,fall_rate,5,0.22890625,0.20078125,0.2640625,post-training unseen frozen monitor only
contact_stability,control,6,success_delta_from_pi0,5,-0.02578125,-0.06328125,0.00859375,post-training unseen frozen monitor only
contact_stability,control,6,fall_delta_from_pi0,5,0.025,-0.00859375,0.0609375,post-training unseen frozen monitor only
contact_stability,control,6,repair_rate_from_pi0,5,0.1080160091480846,0.059199542595769004,0.1521212121212121,post-training unseen frozen monitor only
contact_stability,control,6,regression_rate_from_pi0,5,0.05944088933435795,0.026786857790256642,0.09557630566379922,post-training unseen frozen monitor only
contact_stability,control,7,success_rate,5,0.80703125,0.79296875,0.82109375,post-training unseen frozen monitor only
contact_stability,control,7,fall_rate,5,0.19296875,0.17890625,0.20703125,post-training unseen frozen monitor only
contact_stability,control,7,success_delta_from_pi0,5,0.0109375,-0.003125,0.02578125,post-training unseen frozen monitor only
contact_stability,control,7,fall_delta_from_pi0,5,-0.0109375,-0.02578125,0.003125,post-training unseen frozen monitor only
contact_stability,control,7,repair_rate_from_pi0,5,0.14590496156533894,0.11319039451114923,0.17861952861952862,post-training unseen frozen monitor only
contact_stability,control,7,regression_rate_from_pi0,5,0.023393971019638044,0.011925520910299985,0.03294596817936528,post-training unseen frozen monitor only
contact_stability,control,8,success_rate,5,0.803125,0.7890625,0.8203125,post-training unseen frozen monitor only
contact_stability,control,8,fall_rate,5,0.196875,0.1796875,0.2109375,post-training unseen frozen monitor only
contact_stability,control,8,success_delta_from_pi0,5,0.00703125,-0.015625,0.03046875,post-training unseen frozen monitor only
contact_stability,control,8,fall_delta_from_pi0,5,-0.00703125,-0.03046875,0.015625,post-training unseen frozen monitor only
contact_stability,control,8,repair_rate_from_pi0,5,0.1652703131948415,0.13090909090909092,0.19771043771043767,post-training unseen frozen monitor only
contact_stability,control,8,regression_rate_from_pi0,5,0.032887051913501504,0.011900891581695484,0.055135235616693,post-training unseen frozen monitor only
contact_stability,v21,0,success_rate,5,0.796875,0.77265625,0.82109375,post-training unseen frozen monitor only
contact_stability,v21,0,fall_rate,5,0.203125,0.17890625,0.22734375,post-training unseen frozen monitor only
contact_stability,v21,0,success_delta_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
contact_stability,v21,0,fall_delta_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
contact_stability,v21,0,repair_rate_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
contact_stability,v21,0,regression_rate_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
contact_stability,v21,1,success_rate,5,0.79140625,0.771875,0.81171875,post-training unseen frozen monitor only
contact_stability,v21,1,fall_rate,5,0.20859375,0.18828125,0.22816406249999943,post-training unseen frozen monitor only
contact_stability,v21,1,success_delta_from_pi0,5,-0.00546875,-0.03203125,0.02109375,post-training unseen frozen monitor only
contact_stability,v21,1,fall_delta_from_pi0,5,0.00546875,-0.021875,0.03203125,post-training unseen frozen monitor only
contact_stability,v21,1,repair_rate_from_pi0,5,0.1430040107853392,0.06269176659744088,0.23265082960466854,post-training unseen frozen monitor only
contact_stability,v21,1,regression_rate_from_pi0,5,0.044879784390290396,0.03388614970865082,0.061068307379469666,post-training unseen frozen monitor only
contact_stability,v21,2,success_rate,5,0.78359375,0.7624609375,0.80234375,post-training unseen frozen monitor only
contact_stability,v21,2,fall_rate,5,0.21640625,0.196875,0.2390625,post-training unseen frozen monitor only
contact_stability,v21,2,success_delta_from_pi0,5,-0.01328125,-0.03515625,0.0109375,post-training unseen frozen monitor only
contact_stability,v21,2,fall_delta_from_pi0,5,0.01328125,-0.0125,0.03671875,post-training unseen frozen monitor only
contact_stability,v21,2,repair_rate_from_pi0,5,0.1533512226035038,0.08558378667337505,0.21959968621484777,post-training unseen frozen monitor only
contact_stability,v21,2,regression_rate_from_pi0,5,0.056676134863360164,0.04307586174348895,0.06540565574605645,post-training unseen frozen monitor only
contact_stability,v21,3,success_rate,5,0.77734375,0.7578125,0.79453125,post-training unseen frozen monitor only
contact_stability,v21,3,fall_rate,5,0.22265625,0.20546875,0.24296875,post-training unseen frozen monitor only
contact_stability,v21,3,success_delta_from_pi0,5,-0.01953125,-0.0375,0.00625,post-training unseen frozen monitor only
contact_stability,v21,3,fall_delta_from_pi0,5,0.01953125,-0.00625,0.0375,post-training unseen frozen monitor only
contact_stability,v21,3,repair_rate_from_pi0,5,0.1212244531902968,0.08250643365850738,0.1599424727220862,post-training unseen frozen monitor only
contact_stability,v21,3,regression_rate_from_pi0,5,0.055434573932644525,0.030833638599612752,0.07722345924971027,post-training unseen frozen monitor only
contact_stability,v21,4,success_rate,5,0.78046875,0.7640625,0.80390625,post-training unseen frozen monitor only
contact_stability,v21,4,fall_rate,5,0.21953125,0.19609375,0.2359375,post-training unseen frozen monitor only
contact_stability,v21,4,success_delta_from_pi0,5,-0.01640625,-0.03515625,0.00078125,post-training unseen frozen monitor only
contact_stability,v21,4,fall_delta_from_pi0,5,0.01640625,-0.00078125,0.034375,post-training unseen frozen monitor only
contact_stability,v21,4,repair_rate_from_pi0,5,0.14848734766383145,0.1114172783738001,0.18448449119046026,post-training unseen frozen monitor only
contact_stability,v21,4,regression_rate_from_pi0,5,0.058639672859842194,0.04670534579675486,0.07247952393973724,post-training unseen frozen monitor only
contact_stability,v21,5,success_rate,5,0.78359375,0.771875,0.79296875,post-training unseen frozen monitor only
contact_stability,v21,5,fall_rate,5,0.21640625,0.20703125,0.228125,post-training unseen frozen monitor only
contact_stability,v21,5,success_delta_from_pi0,5,-0.01328125,-0.03359375,0.01015625,post-training unseen frozen monitor only
contact_stability,v21,5,fall_delta_from_pi0,5,0.01328125,-0.01015625,0.03359375,post-training unseen frozen monitor only
contact_stability,v21,5,repair_rate_from_pi0,5,0.1674620943275708,0.08414327607875996,0.24106068890103885,post-training unseen frozen monitor only
contact_stability,v21,5,regression_rate_from_pi0,5,0.06167442678751426,0.051543627076839224,0.07225028288369714,post-training unseen frozen monitor only
contact_stability,v21,6,success_rate,5,0.78828125,0.78203125,0.7984375,post-training unseen frozen monitor only
contact_stability,v21,6,fall_rate,5,0.21171875,0.2015625,0.21796875,post-training unseen frozen monitor only
contact_stability,v21,6,success_delta_from_pi0,5,-0.00859375,-0.0328125,0.015625,post-training unseen frozen monitor only
contact_stability,v21,6,fall_delta_from_pi0,5,0.00859375,-0.015625,0.0328125,post-training unseen frozen monitor only
contact_stability,v21,6,repair_rate_from_pi0,5,0.15403393729227688,0.09451589572654948,0.21585565882996174,post-training unseen frozen monitor only
contact_stability,v21,6,regression_rate_from_pi0,5,0.05158331883789967,0.036188229513248356,0.06633284241531665,post-training unseen frozen monitor only
contact_stability,v21,7,success_rate,5,0.7875,0.75390625,0.81328125,post-training unseen frozen monitor only
contact_stability,v21,7,fall_rate,5,0.2125,0.18671875,0.24609375,post-training unseen frozen monitor only
contact_stability,v21,7,success_delta_from_pi0,5,-0.009375,-0.02578125,0.00703125,post-training unseen frozen monitor only
contact_stability,v21,7,fall_delta_from_pi0,5,0.009375,-0.00703125,0.02578125,post-training unseen frozen monitor only
contact_stability,v21,7,repair_rate_from_pi0,5,0.14949370676594936,0.07816707978830308,0.2208203337435956,post-training unseen frozen monitor only
contact_stability,v21,7,regression_rate_from_pi0,5,0.051470414746804916,0.03904605648658151,0.06662784177986439,post-training unseen frozen monitor only
contact_stability,v21,8,success_rate,5,0.80234375,0.79296875,0.815625,post-training unseen frozen monitor only
contact_stability,v21,8,fall_rate,5,0.19765625,0.184375,0.2078125,post-training unseen frozen monitor only
contact_stability,v21,8,success_delta_from_pi0,5,0.00546875,-0.02578125,0.03828125,post-training unseen frozen monitor only
contact_stability,v21,8,fall_delta_from_pi0,5,-0.00546875,-0.03828125,0.02578125,post-training unseen frozen monitor only
contact_stability,v21,8,repair_rate_from_pi0,5,0.1784829333786949,0.09023150762281197,0.2667343591345778,post-training unseen frozen monitor only
contact_stability,v21,8,regression_rate_from_pi0,5,0.041775520489406644,0.027782122111495704,0.05453611469198015,post-training unseen frozen monitor only
