context_id,specialist_mode,evaluation_role,comparison,old_role,new_role,paired_episodes,old_success_rate,new_success_rate,success_delta,success_delta_lcb95,success_delta_ucb95,old_fall_rate,new_fall_rate,fall_delta,fall_delta_lcb95,fall_delta_ucb95,base_failure_count,base_success_count,repair_count,regression_count,repair_rate,regression_rate,repair_minus_regression
C2,contact_stability,D0,control_minus_base,base,control,256,0.92578125,0.8984375,-0.02734375,-0.07421875,0.01953125,0.00390625,0.01171875,0.0078125,-0.0078125,0.0234375,19,237,16,23,0.8421052631578947,0.0970464135021097,0.745058849655785
C2,contact_stability,D0,v21_minus_base,base,v21,256,0.92578125,0.8984375,-0.02734375,-0.07421875,0.01953125,0.00390625,0.03125,0.02734375,0.0078125,0.05078125,19,237,16,23,0.8421052631578947,0.0970464135021097,0.745058849655785
C2,contact_stability,D0,v21_minus_control,control,v21,256,0.8984375,0.8984375,0.0,-0.046875,0.046875,0.01171875,0.03125,0.01953125,-0.00390625,0.04306640624999858,26,230,21,21,0.8076923076923077,0.09130434782608696,0.7163879598662207
C3,contact_stability,target,control_minus_base,base,control,1024,0.7841796875,0.8037109375,0.01953125,-0.013671875,0.0537109375,0.216796875,0.1962890625,-0.0205078125,-0.052734375,0.01171875,221,803,160,140,0.7239819004524887,0.17434620174346202,0.5496356987090266
C3,contact_stability,target,v21_minus_base,base,v21,1024,0.7841796875,0.794921875,0.0107421875,-0.0234375,0.044921875,0.216796875,0.205078125,-0.01171875,-0.0458984375,0.0224609375,221,803,168,157,0.7601809954751131,0.19551681195516812,0.564664183519945
C3,contact_stability,target,v21_minus_control,control,v21,1024,0.8037109375,0.794921875,-0.0087890625,-0.0419921875,0.0244140625,0.1962890625,0.205078125,0.0087890625,-0.024438476562499978,0.04296875,201,823,149,158,0.7412935323383084,0.1919805589307412,0.5493129734075672
C3,contact_stability,D0,control_minus_base,base,control,256,0.90625,0.9296875,0.0234375,-0.0234375,0.0703125,0.02734375,0.015625,-0.01171875,-0.03515625,0.01171875,24,232,21,15,0.875,0.06465517241379311,0.8103448275862069
C3,contact_stability,D0,v21_minus_base,base,v21,256,0.90625,0.91796875,0.01171875,-0.03515625,0.0625,0.02734375,0.02734375,0.0,-0.02734375,0.02734375,24,232,22,19,0.9166666666666666,0.08189655172413793,0.8347701149425287
C3,contact_stability,D0,v21_minus_control,control,v21,256,0.9296875,0.91796875,-0.01171875,-0.0546875,0.03125,0.015625,0.02734375,0.01171875,-0.01171875,0.0390625,18,238,16,19,0.8888888888888888,0.07983193277310924,0.8090569561157797
C4,contact_stability,target,control_minus_base,base,control,1024,0.787109375,0.7861328125,-0.0009765625,-0.0341796875,0.033203125,0.212890625,0.2138671875,0.0009765625,-0.033203125,0.0361328125,218,806,160,161,0.7339449541284404,0.19975186104218362,0.5341930930862568
C4,contact_stability,target,v21_minus_base,base,v21,1024,0.787109375,0.77734375,-0.009765625,-0.0439453125,0.025390625,0.212890625,0.22265625,0.009765625,-0.0244140625,0.044921875,218,806,164,174,0.7522935779816514,0.21588089330024815,0.5364126846814032
C4,contact_stability,target,v21_minus_control,control,v21,1024,0.7861328125,0.77734375,-0.0087890625,-0.0439453125,0.026391601562499645,0.2138671875,0.22265625,0.0087890625,-0.0263671875,0.0439453125,219,805,163,172,0.7442922374429224,0.21366459627329193,0.5306276411696305
C4,contact_stability,D0,control_minus_base,base,control,256,0.90234375,0.91796875,0.015625,-0.03515625,0.06640625,0.01953125,0.0234375,0.00390625,-0.01953125,0.03125,25,231,23,19,0.92,0.08225108225108226,0.8377489177489178
C4,contact_stability,D0,v21_minus_base,base,v21,256,0.90234375,0.91796875,0.015625,-0.03125,0.06640625,0.01953125,0.03125,0.01171875,-0.01171875,0.0390625,25,231,22,18,0.88,0.07792207792207792,0.8020779220779221
C4,contact_stability,D0,v21_minus_control,control,v21,256,0.91796875,0.91796875,0.0,-0.046875,0.046875,0.0234375,0.03125,0.0078125,-0.01953125,0.03515625,21,235,18,18,0.8571428571428571,0.07659574468085106,0.780547112462006
C5,contact_stability,target,control_minus_base,base,control,1024,0.8037109375,0.775390625,-0.0283203125,-0.0625,0.005859375,0.1962890625,0.224609375,0.0283203125,-0.0048828125,0.0615234375,201,823,140,169,0.6965174129353234,0.20534629404617255,0.4911711188891509
C5,contact_stability,target,v21_minus_base,base,v21,1024,0.8037109375,0.7724609375,-0.03125,-0.06640625,0.0029296875,0.1962890625,0.2275390625,0.03125,-0.0029296875,0.06640625,201,823,150,182,0.746268656716418,0.22114216281895505,0.5251264938974629
C5,contact_stability,target,v21_minus_control,control,v21,1024,0.775390625,0.7724609375,-0.0029296875,-0.0380859375,0.03125,0.224609375,0.2275390625,0.0029296875,-0.0322265625,0.0380859375,230,794,164,167,0.7130434782608696,0.21032745591939547,0.5027160223414741
C5,contact_stability,D0,control_minus_base,base,control,256,0.92578125,0.9140625,-0.01171875,-0.0546875,0.03125,0.01953125,0.02734375,0.0078125,-0.015625,0.03125,19,237,14,17,0.7368421052631579,0.07172995780590717,0.6651121474572507
C5,contact_stability,D0,v21_minus_base,base,v21,256,0.92578125,0.90234375,-0.0234375,-0.0703125,0.01953125,0.01953125,0.00390625,-0.015625,-0.03515625,0.0,19,237,15,21,0.7894736842105263,0.08860759493670886,0.7008660892738174
C5,contact_stability,D0,v21_minus_control,control,v21,256,0.9140625,0.90234375,-0.01171875,-0.05859375,0.03515625,0.02734375,0.00390625,-0.0234375,-0.046875,-0.00390625,22,234,17,20,0.7727272727272727,0.08547008547008547,0.6872571872571872
