domain,pair_index,evaluation_seed,environment_id,baseline_success,final_success,baseline_fell,final_fell,baseline_timed_out,final_timed_out,baseline_return,final_return,baseline_intervention_per_riser,final_intervention_per_riser
target,27,125000000,27,True,False,False,True,False,False,10.097818374633789,-0.17715692520141602,0.4444444477558136,0.5555555820465088
target,28,125000000,28,False,True,True,False,False,False,-0.6503138542175293,8.736331939697266,0.2222222238779068,0.3333333432674408
target,29,125000000,29,True,True,False,False,False,False,11.145163536071777,11.356698989868164,1.0,1.2222222089767456
target,30,125000000,30,True,True,False,False,False,False,9.513702392578125,9.309501647949219,1.2222222089767456,1.0
target,31,125000000,31,True,True,False,False,False,False,8.757823944091797,9.113470077514648,0.1111111119389534,0.3333333432674408
target,32,125000000,32,False,True,True,False,False,False,-0.6735210418701172,8.791823387145996,0.4444444477558136,0.7777777910232544
target,33,125000000,33,True,False,False,True,False,False,10.269033432006836,-3.5454635620117188,1.1111111640930176,1.875
target,34,125000000,34,True,True,False,False,False,False,10.346126556396484,10.028477668762207,0.3333333432674408,0.5555555820465088
target,35,125000000,35,True,True,False,False,False,False,10.782909393310547,10.182104110717773,0.1111111119389534,0.2222222238779068
target,36,125000000,36,True,True,False,False,False,False,9.769798278808594,9.921114921569824,0.3333333432674408,0.0
target,37,125000000,37,False,False,True,True,False,False,-0.6095976829528809,-2.575897693634033,0.0,1.25
target,38,125000000,38,False,True,True,False,False,False,-4.416590213775635,8.113860130310059,2.142857313156128,0.6666666865348816
target,39,125000000,39,True,True,False,False,False,False,9.411983489990234,9.496271133422852,0.2222222238779068,0.2222222238779068
target,40,125000000,40,True,True,False,False,False,False,10.087379455566406,12.323041915893555,0.8888888955116272,0.8888888955116272
target,41,125000000,41,False,False,True,True,False,False,0.9946870803833008,-1.570704698562622,3.0,3.6000001430511475
target,42,125000000,42,True,True,False,False,False,False,11.287402153015137,9.404318809509277,0.2222222238779068,0.2222222238779068
target,43,125000000,43,True,True,False,False,False,False,8.3255033493042,10.029280662536621,0.3333333432674408,0.0
target,44,125000000,44,True,False,False,True,False,False,11.349470138549805,0.48972129821777344,1.7777777910232544,1.4285714626312256
target,45,125000000,45,True,True,False,False,False,False,10.151851654052734,10.712227821350098,0.2222222238779068,0.1111111119389534
target,46,125000000,46,True,True,False,False,False,False,9.47806167602539,9.418722152709961,0.2222222238779068,0.1111111119389534
target,47,125000000,47,True,True,False,False,False,False,9.056022644042969,10.21197509765625,0.4444444477558136,0.3333333432674408
target,48,125000000,48,False,True,True,False,False,False,-2.1743130683898926,8.30676555633545,0.2222222238779068,0.2222222238779068
