rank,candidate,candidate_index,status,mean_success,F1_fall_rate,F1_intervention_steps_per_riser,F1_mean_cbf_compute_time_ms,F1_mean_completion_time_s,F1_mean_reached_riser,F1_mean_return,F1_mean_toe_riser_contact_impulse,F1_mean_velocity_correction_jerk,F1_mean_velocity_correction_norm,F1_post_intervention_fall_rate,F1_post_intervention_mean_support_foot_slip,F1_success_rate,F1_unsafe_overlap_steps_per_riser,F2_fall_rate,F2_intervention_steps_per_riser,F2_mean_cbf_compute_time_ms,F2_mean_completion_time_s,F2_mean_reached_riser,F2_mean_return,F2_mean_toe_riser_contact_impulse,F2_mean_velocity_correction_jerk,F2_mean_velocity_correction_norm,F2_post_intervention_fall_rate,F2_post_intervention_mean_support_foot_slip,F2_success_rate,F2_unsafe_overlap_steps_per_riser,F3_fall_rate,F3_intervention_steps_per_riser,F3_mean_cbf_compute_time_ms,F3_mean_completion_time_s,F3_mean_reached_riser,F3_mean_return,F3_mean_toe_riser_contact_impulse,F3_mean_velocity_correction_jerk,F3_mean_velocity_correction_norm,F3_post_intervention_fall_rate,F3_post_intervention_mean_support_foot_slip,F3_success_rate,F3_unsafe_overlap_steps_per_riser,alpha,barrier_slope,elapsed_seconds,hip_roll_yaw_weight,lambda_s,lambda_x,mode,other_joint_weight,stance_leg_weight,swing_ankle_pitch_weight,swing_hip_pitch_weight,swing_knee_weight,toe_margin,top_clearance
41,c016,16,completed,0.5208333333333334,0.359375,6.875478927203065,2.0726983910475427,8.350625,8.15625,-7.391666084527969,54.32154215872288,54.82380096456104,1.770614854715406,0.359375,0.15232978667769403,0.640625,1.3754789272030652,0.5,8.337526205450734,2.167547204831593,7.999062500000001,7.453125,-11.495639562606812,52.1586773917079,64.05265124300455,2.3159615901567445,0.5,0.16091346221452274,0.5,1.6457023060796645,0.578125,6.8398637137989775,2.045502643226456,8.7946875,9.171875,-11.87360867112875,67.84601174294949,61.076952660019806,1.8931325921896098,0.578125,0.15742487518062698,0.421875,1.5894378194207837,10.0,0.8,81.1826903000474,2.0,0.0,0.0,task_metric_velocity_cbf,1.0,2.0,1.0,1.0,1.0,0.1,0.025
31,c017,17,completed,0.5572916666666666,0.296875,6.311284046692607,2.2073750835393726,8.473125,8.03125,-5.121947605162859,42.84453949332237,51.88142887438224,1.5975322342115912,0.296875,0.15245050818042177,0.703125,0.896887159533074,0.5,7.509635974304069,2.0597639126078073,7.8259375,7.296875,-9.105081267654896,37.25801260024309,60.72799047357295,2.050119692566286,0.5,0.15879907667967968,0.5,0.9528907922912205,0.53125,6.723958333333333,2.107099367628416,8.759374999999999,9.0,-11.188384756445885,47.84136702120304,62.12567690448849,2.034844046356931,0.53125,0.15660628469016,0.46875,0.9756944444444444,10.0,0.8,81.13276892807335,4.0,0.0,0.0,task_metric_velocity_cbf,2.0,4.0,0.5,1.0,0.5,0.08,0.025
33,c018,18,completed,0.5520833333333334,0.359375,6.693415637860082,2.164267254196835,8.1790625,7.59375,-5.766792133450508,42.15560331195593,56.0459153024467,1.8213401511388392,0.359375,0.1523821051100454,0.640625,0.8683127572016461,0.46875,7.53030303030303,2.1818399132874906,7.6759375,7.21875,-8.36450793594122,38.84112214297056,63.96791588848064,2.254302128699909,0.46875,0.15346303213329635,0.53125,1.0281385281385282,0.515625,6.457092819614711,2.2105015403723,8.8465625,8.921875,-9.681484714150429,46.84314755350351,59.45786699763105,1.889151297646791,0.515625,0.15744190832517974,0.484375,0.8528896672504378,10.0,0.8,82.35935824201442,4.0,0.0,2.0,task_metric_velocity_cbf,2.0,4.0,0.5,1.0,0.5,0.08,0.025
42,c019,19,completed,0.515625,0.359375,6.617063492063492,2.2638164173692314,8.365625000000001,7.875,-7.021073047071695,41.94433058798313,68.75015890572469,2.2804806138937446,0.359375,0.15386812625660662,0.640625,0.9087301587301587,0.46875,7.550321199143469,2.249218309927559,7.8409375,7.296875,-9.744319088757038,38.35836520045996,74.51035465281376,2.7483550634966067,0.46875,0.15495213819844428,0.53125,0.9721627408993576,0.625,7.6484375,1.9323208902874132,8.2571875,8.0,-12.668479099869728,41.92220129072666,80.72476268012242,2.8216556961538304,0.625,0.15741212704814028,0.375,1.05078125,10.0,0.8,80.84230447700247,4.0,0.0,8.0,task_metric_velocity_cbf,2.0,4.0,0.5,1.0,0.5,0.08,0.025
49,c020,20,completed,0.4635416666666667,0.453125,6.870762711864407,1.5665050092652946,7.765625,7.375,-7.41490026935935,39.38997710496187,58.173116668762574,1.9698496791294642,0.453125,0.1572662547368824,0.546875,0.9533898305084746,0.484375,7.312101910828026,1.9621482951056766,7.813750000000001,7.359375,-8.266695849597454,40.243654787540436,61.20443975057741,2.0071322548353203,0.484375,0.153014378410788,0.515625,0.9193205944798302,0.671875,7.106741573033708,1.5348521908185515,8.480625,8.34375,-12.451689518988132,47.52405996620655,63.69858159856567,2.1538737064631177,0.671875,0.15833285125143254,0.328125,1.1273408239700375,10.0,0.8,67.91935819596983,4.0,0.05,0.0,task_metric_velocity_cbf,2.0,4.0,0.5,1.0,0.5,0.08,0.025
26,c021,21,completed,0.5677083333333334,0.25,6.496226415094339,1.647509000742877,8.74375,8.28125,-5.881426148116589,41.93596163392067,58.07482782763358,1.790235997950545,0.25,0.15397301439659333,0.75,0.7924528301886793,0.484375,7.80801687763713,2.139443066127286,8.1109375,7.40625,-9.47934764623642,39.24106392916292,67.56951431865248,2.282723933767202,0.484375,0.15535727617548212,0.515625,1.0443037974683544,0.5625,6.659685863874346,2.037471008523256,8.851875,8.953125,-11.302033185958862,50.65283118933439,66.3571254172955,2.0823019628747663,0.5625,0.15813403996170122,0.4375,1.036649214659686,10.0,0.8,81.25544550607447,4.0,0.2,0.0,task_metric_velocity_cbf,2.0,4.0,0.5,1.0,0.5,0.08,0.025
43,c022,22,completed,0.5,0.421875,7.024904214559387,2.0528197046494325,8.299687500000001,8.15625,-8.265234284102917,42.3018841072917,66.18655561085696,2.234719707644566,0.421875,0.15705561880161856,0.578125,0.8908045977011494,0.546875,7.110663983903421,2.0251621253296346,7.9175,7.765625,-9.483935631811619,38.38700619712472,67.14132400382607,2.2439572208116663,0.546875,0.16154912148433592,0.453125,0.7947686116700201,0.53125,7.139616055846423,1.521463962514509,8.7690625,8.953125,-11.595732614398003,49.48535091243684,70.41186245896218,2.3700613518926263,0.53125,0.15713449006683458,0.46875,0.9546247818499127,8.0,0.65,77.46842687798198,4.0,0.0,0.0,task_metric_velocity_cbf,2.0,4.0,0.5,1.0,0.5,0.08,0.025
36,c023,23,completed,0.5416666666666666,0.40625,6.883435582822086,2.228546491801628,7.8809375,7.640625,-6.7898771949112415,41.69033818691969,56.34885492925721,1.8575607984117724,0.40625,0.1535929925460738,0.59375,1.0204498977505112,0.421875,7.86624203821656,1.5632111765741352,8.083124999999999,7.359375,-9.256050936877728,38.964966006577015,58.96081551463553,2.0655087564141423,0.421875,0.15988232241316863,0.578125,1.0148619957537155,0.546875,7.052158273381295,1.6272170229374712,8.504999999999999,8.6875,-11.844860807061195,48.86934741586447,63.23018908626819,2.152825302267551,0.546875,0.1570733803770471,0.453125,1.118705035971223,12.0,0.8,71.46704259805847,4.0,0.0,0.0,task_metric_velocity_cbf,2.0,4.0,0.5,1.0,0.5,0.08,0.03
47,c024,24,completed,0.4791666666666667,0.40625,6.7875,2.0246855630920555,8.040625,7.5,-7.243373885750771,40.53003142774105,57.34383501748931,1.9715351352328416,0.40625,0.1568389243437852,0.59375,1.0208333333333333,0.515625,7.63956043956044,2.153611523222484,7.787812499999999,7.109375,-9.032704398036003,39.90927830711007,63.75338761893835,2.1916982242744494,0.515625,0.16050804940892463,0.484375,1.0615384615384615,0.640625,6.979400749063671,2.132008637387328,8.2896875,8.34375,-11.609578020870686,43.90774618834257,64.07808347391337,2.2431333717814708,0.640625,0.15660345019819552,0.359375,1.1198501872659177,10.0,0.8,84.8609562489437,8.0,0.0,0.0,task_metric_velocity_cbf,4.0,8.0,0.25,0.5,0.25,0.08,0.025
10,c025,25,completed,0.6197916666666666,0.265625,7.028625954198473,2.059080655072011,8.66875,8.1875,-6.900800779461861,50.128763146698475,68.42497567394781,2.2880100924073146,0.265625,0.14976818781971474,0.734375,1.099236641221374,0.421875,7.894523326572008,2.140176081453633,8.1684375,7.703125,-9.697043463587761,45.40940574556589,74.99209798457287,2.739609291779794,0.421875,0.1555097009031049,0.578125,1.079107505070994,0.453125,7.425862068965517,1.5771710883262249,9.040624999999999,9.0625,-12.578371874988079,55.97746731340885,77.50734838808114,2.753919387432353,0.453125,0.1569893564786063,0.546875,1.2344827586206897,14.552576,0.797379,76.33217996906023,5.812201,0.243489,0.0,task_metric_velocity_cbf,1.047833,2.184926,0.462581,1.07706,0.340413,0.089316,0.027627
38,c026,26,completed,0.5364583333333334,0.390625,5.794238683127572,2.089846143808946,8.4425,7.59375,-6.00310679897666,38.827189922332764,58.53390590587522,1.7315682367986216,0.390625,0.14791244994635092,0.609375,0.8251028806584362,0.5625,6.431460674157304,1.6794133009357257,7.7534375,6.953125,-8.819455847144127,34.80573124811053,65.02074889288018,2.0484311406439715,0.5625,0.15343512513842428,0.4375,0.8898876404494382,0.4375,5.381666666666667,1.6718707714224712,9.406875,9.375,-9.648407958447933,48.507908903062344,61.80794854785396,1.8336716970568296,0.4375,0.1514740549039628,0.5625,0.8366666666666667,8.784409,1.153524,72.2651332319947,2.47088,0.12426,6.592826,task_metric_velocity_cbf,1.889912,2.451605,0.434699,3.02039,0.387385,0.083804,0.0182
35,c027,27,completed,0.546875,0.359375,5.162745098039216,2.1375457002489613,8.587500000000002,7.96875,-3.9377247728407383,41.53197734802961,43.791104148187316,1.2784220699660123,0.359375,0.14947995985396811,0.640625,0.7235294117647059,0.4375,6.031120331950207,2.158526828633962,8.378125,7.53125,-6.088434901088476,37.12381973862648,49.757113807959946,1.5897942986607507,0.4375,0.1511675085049713,0.5625,0.7987551867219918,0.5625,5.307426597582038,2.1552772208450452,9.146875,9.046875,-9.292899392545223,41.414859138429165,49.55215903055069,1.55620673218399,0.5625,0.15271095428502984,0.4375,0.7288428324697754,13.556304,0.843693,84.9083689149702,4.207993,0.0,1.845164,task_metric_velocity_cbf,1.231954,2.16574,1.009305,0.656683,0.255393,0.040004,0.015669
54,c028,28,completed,0.3802083333333333,0.65625,8.908333333333333,2.099243933611577,6.2640625000000005,5.625,-11.09686677902937,30.899091938510537,98.26126966278997,4.098113263102356,0.65625,0.1642705591892772,0.34375,1.1694444444444445,0.546875,8.5,2.1271679405804704,6.3834375,5.96875,-10.30560202896595,33.38358321785927,98.37167800467824,4.043322507100361,0.546875,0.1605684647325436,0.453125,1.068062827225131,0.65625,8.164113785557987,2.060049001913332,7.179375,7.140625,-14.00424113869667,40.936837958171964,106.26747721269152,4.340130915973457,0.65625,0.1606471371456374,0.34375,1.1772428884026258,11.647761,0.530946,81.14744492899626,5.900086,0.897205,0.0,task_metric_velocity_cbf,2.38024,2.653391,1.26943,2.208882,0.413292,0.04996,0.03075
51,c029,29,completed,0.4322916666666667,0.484375,8.216400911161731,2.1225106405737604,7.5884374999999995,6.859375,-8.974513754248619,37.83935721963644,76.06394769167215,2.8621176810897477,0.484375,0.15482861684135424,0.515625,1.1799544419134396,0.5,7.935334872979214,2.234155007649658,7.2509375,6.765625,-8.272723406553268,34.39016078040004,79.31104687769361,2.731286498250075,0.5,0.1613537648644957,0.5,1.0184757505773672,0.71875,9.24944812362031,2.1128204525165946,7.7562500000000005,7.078125,-14.801777377724648,41.84296067804098,92.03444015662772,3.544066668440506,0.71875,0.15960559659605328,0.28125,1.3973509933774835,14.423426,0.827062,80.46216335904319,11.282458,0.0,10.718137,task_metric_velocity_cbf,1.680709,10.467056,0.330777,3.784736,0.783955,0.076632,0.036691
9,c030,30,completed,0.6354166666666666,0.265625,6.111538461538461,2.1002699253956476,8.595625,8.125,-5.30791562050581,47.13347816467285,43.626081315923116,1.3586834927155809,0.265625,0.14854206683410912,0.734375,1.0153846153846153,0.4375,7.4222222222222225,2.085369811391903,8.604687499999999,7.734375,-10.205036327242851,51.77023594081402,50.504552444615946,1.731560537276953,0.4375,0.15090455565549782,0.5625,1.3353535353535353,0.390625,6.4,2.025831260260819,9.228750000000002,8.984375,-9.720785975456238,56.79619360342622,46.98143327576866,1.451462884267688,0.390625,0.1524061313831364,0.609375,1.1965217391304348,13.812225,1.129734,84.23034504801035,4.08071,0.0,0.0,task_metric_velocity_cbf,7.960678,11.370941,1.068988,1.924582,0.816075,0.083445,0.035344
60,c031,31,completed,0.10416666666666667,0.859375,9.720858895705522,2.1355325171019084,5.2631250000000005,5.09375,-13.439006075263023,21.88705438375473,117.90754837237264,5.808009703133002,0.859375,0.17706005406049619,0.140625,1.1134969325153374,0.890625,11.345890410958905,2.1942402760017607,4.9121875,4.5625,-15.238027289509773,19.758394757984206,132.9415261536596,6.941196232216982,0.890625,0.17882045253380632,0.109375,1.2054794520547945,0.9375,10.790476190476191,2.1915104937674843,5.08625,4.921875,-16.035279996693134,21.358406864106655,132.06380386333788,6.941292575958994,0.9375,0.17427459683174729,0.0625,1.3523809523809525,12.068959,0.421119,76.99405870400369,7.884277,0.082635,15.237418,task_metric_velocity_cbf,3.99974,10.892797,0.520759,2.473549,1.500474,0.097317,0.017385
18,c032,32,completed,0.5989583333333334,0.34375,6.0285132382892055,1.6589340501995178,8.181249999999999,7.671875,-5.256634026765823,45.37780660390854,54.01236985383642,1.6492419529179747,0.34375,0.15112561301217986,0.65625,1.1568228105906313,0.421875,6.629787234042553,2.2520170850077954,8.1465625,7.34375,-8.007020734250546,50.01114960759878,58.52936853728327,1.8672242465870323,0.421875,0.15256849415579737,0.578125,1.3361702127659574,0.4375,6.150250417362271,1.639206937845124,9.3284375,9.359375,-10.773551367223263,64.93962633609772,60.056437794692805,1.974505223068519,0.4375,0.15175909744459748,0.5625,1.3055091819699498,10.530249,0.969877,78.17918486706913,2.223608,0.098136,14.04015,task_metric_velocity_cbf,2.048658,6.483358,1.510335,3.602323,1.304936,0.097919,0.015675
