evaluation_seed,environment_id,success,fell,timed_out,ever_intervened,post_intervention_fall,toe_riser_kick_count,unsafe_overlap_steps,return,steps,completion_time_s,max_riser,completion_fraction,intervention_count,intervention_event_count,mean_velocity_correction_norm,mean_velocity_correction_jerk,toe_riser_contact_impulse,toe_riser_contact_force_peak,post_intervention_mean_abs_root_roll,post_intervention_mean_abs_root_pitch,post_intervention_mean_support_foot_slip,minimum_nominal_margin,minimum_filtered_margin,maximum_nominal_safe_target_error,all_finite
201356090,10,True,False,False,False,False,5,5,0.9571442604064941,366,7.32,9,1.0,0,0,0.0,0.0,42.48929977416992,512.461669921875,0.0,0.0,0.0,-8.953082084655762,-8.953082084655762,2.384185791015625e-07,True
201356090,11,True,False,False,False,False,7,7,0.837287425994873,415,8.3,9,1.0,0,0,0.0,0.0,59.19908905029297,536.77001953125,0.0,0.0,0.0,-11.940984725952148,-11.940984725952148,2.384185791015625e-07,True
201356090,12,True,False,False,False,False,7,8,-1.6591463088989258,485,9.700000000000001,9,1.0,0,0,0.0,0.0,56.94439697265625,737.8394775390625,0.0,0.0,0.0,-20.23349380493164,-20.23349380493164,2.384185791015625e-07,True
201356090,13,False,True,False,False,False,10,17,-15.191621780395508,338,6.76,2,0.2222222222222222,0,0,0.0,0.0,59.5445671081543,590.3113403320312,0.0,0.0,0.0,-20.440135955810547,-20.440135955810547,1.1920928955078125e-07,True
201356090,14,False,True,False,False,False,3,3,-4.2556891441345215,212,4.24,3,0.3333333333333333,0,0,0.0,0.0,20.055423736572266,404.97210693359375,0.0,0.0,0.0,-16.73295783996582,-16.73295783996582,1.1920928955078125e-07,True
201356090,15,False,True,False,False,False,8,9,-14.803628921508789,564,11.28,9,1.0,0,0,0.0,0.0,62.14461135864258,896.117431640625,0.0,0.0,0.0,-17.696109771728516,-17.696109771728516,2.384185791015625e-07,True
201356090,16,True,False,False,False,False,7,7,-2.167361259460449,441,8.82,9,1.0,0,0,0.0,0.0,49.82440948486328,436.48773193359375,0.0,0.0,0.0,-12.354227066040039,-12.354227066040039,2.384185791015625e-07,True
201356090,17,True,False,False,False,False,10,12,-2.213029384613037,507,10.14,9,1.0,0,0,0.0,0.0,71.65794372558594,524.3151245117188,0.0,0.0,0.0,-15.925115585327148,-15.925115585327148,2.384185791015625e-07,True
201356090,18,False,True,False,False,False,7,13,-10.606389999389648,379,7.58,9,1.0,0,0,0.0,0.0,58.50946807861328,821.7070922851562,0.0,0.0,0.0,-16.854881286621094,-16.854881286621094,2.384185791015625e-07,True
201356090,19,True,False,False,False,False,5,5,0.28530359268188477,454,9.08,9,1.0,0,0,0.0,0.0,43.50434875488281,501.8655090332031,0.0,0.0,0.0,-9.243889808654785,-9.243889808654785,2.384185791015625e-07,True
201356090,20,True,False,False,False,False,7,7,-1.4243097305297852,505,10.1,9,1.0,0,0,0.0,0.0,35.99875259399414,513.138671875,0.0,0.0,0.0,-14.780162811279297,-14.780162811279297,2.384185791015625e-07,True
201356090,21,True,False,False,False,False,4,5,-0.587193489074707,410,8.2,9,1.0,0,0,0.0,0.0,30.663585662841797,460.6395568847656,0.0,0.0,0.0,-15.748977661132812,-15.748977661132812,2.384185791015625e-07,True
201356090,22,False,True,False,False,False,2,2,-3.74891996383667,214,4.28,4,0.4444444444444444,0,0,0.0,0.0,15.693191528320312,409.8373718261719,0.0,0.0,0.0,-13.410751342773438,-13.410751342773438,1.1920928955078125e-07,True
201356090,23,True,False,False,False,False,5,5,-0.021644115447998047,495,9.9,9,1.0,0,0,0.0,0.0,25.385700225830078,354.77227783203125,0.0,0.0,0.0,-16.300485610961914,-16.300485610961914,2.384185791015625e-07,True
201356090,24,True,False,False,False,False,5,5,-4.83654260635376,517,10.34,9,1.0,0,0,0.0,0.0,32.02851486206055,394.7059326171875,0.0,0.0,0.0,-11.725639343261719,-11.725639343261719,2.384185791015625e-07,True
201356090,25,True,False,False,False,False,6,6,-4.720271110534668,421,8.42,9,1.0,0,0,0.0,0.0,50.93500518798828,535.459228515625,0.0,0.0,0.0,-31.646163940429688,-31.646163940429688,2.384185791015625e-07,True
201356090,26,True,False,False,False,False,7,7,-0.2277817726135254,419,8.38,9,1.0,0,0,0.0,0.0,54.648136138916016,564.340087890625,0.0,0.0,0.0,-13.770609855651855,-13.770609855651855,2.384185791015625e-07,True
201356090,27,False,True,False,False,False,4,4,-10.707107543945312,178,3.56,1,0.1111111111111111,0,0,0.0,0.0,44.24824523925781,969.0314331054688,0.0,0.0,0.0,-18.69683265686035,-18.69683265686035,1.1920928955078125e-07,True
201356090,28,True,False,False,False,False,6,6,0.18807125091552734,416,8.32,9,1.0,0,0,0.0,0.0,46.84454345703125,528.1424560546875,0.0,0.0,0.0,-11.095609664916992,-11.095609664916992,2.384185791015625e-07,True
201356090,29,True,False,False,False,False,9,9,0.5688581466674805,453,9.06,9,1.0,0,0,0.0,0.0,71.2076187133789,526.377197265625,0.0,0.0,0.0,-9.434086799621582,-9.434086799621582,2.384185791015625e-07,True
201356090,30,True,False,False,False,False,9,9,-2.7449212074279785,406,8.120000000000001,9,1.0,0,0,0.0,0.0,66.96784973144531,471.6011047363281,0.0,0.0,0.0,-29.91476058959961,-29.91476058959961,1.7881393432617188e-07,True
201356090,31,True,False,False,False,False,7,8,-1.334366798400879,377,7.54,9,1.0,0,0,0.0,0.0,58.74109649658203,543.8314208984375,0.0,0.0,0.0,-13.828758239746094,-13.828758239746094,2.384185791015625e-07,True
201356090,32,True,False,False,False,False,6,6,-2.3855791091918945,552,11.040000000000001,9,1.0,0,0,0.0,0.0,49.44570541381836,551.0179443359375,0.0,0.0,0.0,-17.364665985107422,-17.364665985107422,2.384185791015625e-07,True
201356090,33,True,False,False,False,False,6,6,-0.5175700187683105,454,9.08,9,1.0,0,0,0.0,0.0,48.40135955810547,565.0347900390625,0.0,0.0,0.0,-12.259074211120605,-12.259074211120605,2.384185791015625e-07,True
201356090,34,False,True,False,False,False,21,86,-26.836517333984375,481,9.620000000000001,2,0.2222222222222222,0,0,0.0,0.0,114.39051818847656,648.9561767578125,0.0,0.0,0.0,-20.41073226928711,-20.41073226928711,2.384185791015625e-07,True
201356090,35,True,False,False,False,False,7,7,0.29288768768310547,413,8.26,9,1.0,0,0,0.0,0.0,59.16790008544922,625.8907470703125,0.0,0.0,0.0,-14.001677513122559,-14.001677513122559,2.384185791015625e-07,True
201356090,36,True,False,False,False,False,10,11,-4.173401355743408,508,10.16,9,1.0,0,0,0.0,0.0,85.99283599853516,675.5130615234375,0.0,0.0,0.0,-16.691688537597656,-16.691688537597656,2.384185791015625e-07,True
201356090,37,True,False,False,False,False,5,5,-1.7572073936462402,557,11.14,9,1.0,0,0,0.0,0.0,33.63292694091797,473.10333251953125,0.0,0.0,0.0,-19.315406799316406,-19.315406799316406,2.384185791015625e-07,True
201356090,38,False,True,False,False,False,7,14,-12.06458568572998,353,7.0600000000000005,5,0.5555555555555556,0,0,0.0,0.0,64.18144989013672,811.1981201171875,0.0,0.0,0.0,-19.608083724975586,-19.608083724975586,2.384185791015625e-07,True
201356090,39,True,False,False,False,False,7,7,-1.3414559364318848,498,9.96,9,1.0,0,0,0.0,0.0,52.556087493896484,557.517333984375,0.0,0.0,0.0,-12.703970909118652,-12.703970909118652,2.384185791015625e-07,True
201356090,40,False,True,False,False,False,4,4,-5.265174865722656,275,5.5,6,0.6666666666666666,0,0,0.0,0.0,39.26799011230469,601.5693359375,0.0,0.0,0.0,-16.76939582824707,-16.76939582824707,2.384185791015625e-07,True
201356090,41,True,False,False,False,False,5,5,0.513679027557373,404,8.08,9,1.0,0,0,0.0,0.0,31.81338119506836,489.1874694824219,0.0,0.0,0.0,-12.428679466247559,-12.428679466247559,2.384185791015625e-07,True
201356090,42,False,True,False,False,False,14,16,-16.198179244995117,517,10.34,9,1.0,0,0,0.0,0.0,118.42865753173828,821.658935546875,0.0,0.0,0.0,-28.640758514404297,-28.640758514404297,2.384185791015625e-07,True
201356090,43,True,False,False,False,False,6,6,-4.161473274230957,517,10.34,9,1.0,0,0,0.0,0.0,49.62190246582031,493.2393798828125,0.0,0.0,0.0,-15.62269401550293,-15.62269401550293,2.384185791015625e-07,True
201356090,44,False,True,False,False,False,1,1,-5.010666847229004,159,3.18,2,0.2222222222222222,0,0,0.0,0.0,8.260686874389648,413.0343322753906,0.0,0.0,0.0,-9.18239974975586,-9.18239974975586,2.384185791015625e-07,True
201356090,45,True,False,False,False,False,4,4,-1.483114242553711,433,8.66,9,1.0,0,0,0.0,0.0,35.3256721496582,503.8476257324219,0.0,0.0,0.0,-16.486459732055664,-16.486459732055664,2.384185791015625e-07,True
201356090,46,True,False,False,False,False,8,8,-5.137213230133057,604,12.08,9,1.0,0,0,0.0,0.0,50.399993896484375,415.286376953125,0.0,0.0,0.0,-19.951019287109375,-19.951019287109375,2.384185791015625e-07,True
201356090,47,False,True,False,False,False,0,0,-9.035608291625977,169,3.38,2,0.2222222222222222,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.82271957397461,-31.82271957397461,2.384185791015625e-07,True
201356090,48,True,False,False,False,False,7,7,-1.2331948280334473,436,8.72,9,1.0,0,0,0.0,0.0,57.926780700683594,576.3236083984375,0.0,0.0,0.0,-14.580601692199707,-14.580601692199707,2.384185791015625e-07,True
201356090,49,True,False,False,False,False,5,5,-2.9461793899536133,467,9.34,9,1.0,0,0,0.0,0.0,49.75831604003906,646.3976440429688,0.0,0.0,0.0,-16.476116180419922,-16.476116180419922,2.384185791015625e-07,True
201356090,50,False,True,False,False,False,0,0,-5.065167427062988,168,3.36,2,0.2222222222222222,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.69743537902832,-14.69743537902832,2.384185791015625e-07,True
201356090,51,True,False,False,False,False,10,10,-0.3448977470397949,468,9.36,9,1.0,0,0,0.0,0.0,90.34794616699219,947.2750854492188,0.0,0.0,0.0,-17.708816528320312,-17.708816528320312,2.384185791015625e-07,True
201356090,52,True,False,False,False,False,5,5,-0.6730198860168457,405,8.1,9,1.0,0,0,0.0,0.0,36.68241882324219,497.4287414550781,0.0,0.0,0.0,-12.527709007263184,-12.527709007263184,2.384185791015625e-07,True
201356090,53,True,False,False,False,False,7,9,-0.03059530258178711,461,9.22,9,1.0,0,0,0.0,0.0,52.9334602355957,448.3721008300781,0.0,0.0,0.0,-16.66240119934082,-16.66240119934082,1.1920928955078125e-07,True
201356090,54,True,False,False,False,False,4,4,-0.7330708503723145,406,8.120000000000001,9,1.0,0,0,0.0,0.0,31.209701538085938,474.8680725097656,0.0,0.0,0.0,-13.681530952453613,-13.681530952453613,2.384185791015625e-07,True
201356090,55,False,True,False,False,False,10,13,-12.669940948486328,409,8.18,9,1.0,0,0,0.0,0.0,63.65264129638672,479.6820983886719,0.0,0.0,0.0,-12.023541450500488,-12.023541450500488,2.384185791015625e-07,True
201356090,56,True,False,False,False,False,5,5,-0.8447442054748535,416,8.32,9,1.0,0,0,0.0,0.0,41.49769973754883,614.226806640625,0.0,0.0,0.0,-15.081000328063965,-15.081000328063965,2.384185791015625e-07,True
201356090,57,True,False,False,False,False,8,8,0.4047055244445801,433,8.66,9,1.0,0,0,0.0,0.0,66.40801239013672,484.5291748046875,0.0,0.0,0.0,-9.525528907775879,-9.525528907775879,2.384185791015625e-07,True
201356090,58,True,False,False,False,False,11,11,0.7547421455383301,420,8.4,9,1.0,0,0,0.0,0.0,81.11766052246094,502.1098327636719,0.0,0.0,0.0,-14.138011932373047,-14.138011932373047,2.384185791015625e-07,True
201356090,59,False,True,False,False,False,5,5,-8.801520347595215,317,6.34,8,0.8888888888888888,0,0,0.0,0.0,39.24003982543945,414.2213439941406,0.0,0.0,0.0,-22.689210891723633,-22.689210891723633,2.384185791015625e-07,True
201356090,60,True,False,False,False,False,6,6,-0.23728322982788086,397,7.94,9,1.0,0,0,0.0,0.0,45.71015548706055,432.7476501464844,0.0,0.0,0.0,-9.103625297546387,-9.103625297546387,2.384185791015625e-07,True
201356090,61,True,False,False,False,False,7,7,1.138580083847046,437,8.74,9,1.0,0,0,0.0,0.0,48.32093811035156,465.05950927734375,0.0,0.0,0.0,-16.26279067993164,-16.26279067993164,2.384185791015625e-07,True
201356090,62,True,False,False,False,False,5,5,-0.042095184326171875,395,7.9,9,1.0,0,0,0.0,0.0,34.43793487548828,449.4659118652344,0.0,0.0,0.0,-20.638986587524414,-20.638986587524414,1.1920928955078125e-07,True
201356090,63,True,False,False,False,False,7,7,-2.0823192596435547,515,10.3,9,1.0,0,0,0.0,0.0,44.336021423339844,501.0686950683594,0.0,0.0,0.0,-15.876714706420898,-15.876714706420898,2.384185791015625e-07,True
