candidate_index,riser_height_m,clearance_barrier_slope,evaluation_seed,environment_id,off_success,on_success,off_fell,on_fell,off_toe_riser_kick,on_toe_riser_kick,off_max_riser,on_max_riser,off_would_intervene_count,on_intervention_count
0,0.17,0.8,147260001,26,True,True,False,False,True,True,9,9,35,36
0,0.17,0.8,147260001,27,True,True,False,False,True,True,9,9,49,52
0,0.17,0.8,147260001,28,True,False,False,True,True,True,9,6,33,53
0,0.17,0.8,147260001,29,False,True,True,False,True,True,3,9,29,46
0,0.17,0.8,147260001,30,True,True,False,False,True,True,9,9,41,59
0,0.17,0.8,147260001,31,True,True,False,False,True,True,9,9,40,58
0,0.17,0.8,147260001,32,True,True,False,False,True,True,9,9,49,64
0,0.17,0.8,147260001,33,True,False,False,True,True,True,9,5,33,38
0,0.17,0.8,147260001,34,False,True,True,False,False,True,1,9,16,38
0,0.17,0.8,147260001,35,True,True,False,False,True,True,9,9,46,46
0,0.17,0.8,147260001,36,True,True,False,False,True,True,9,9,34,36
0,0.17,0.8,147260001,37,True,True,False,False,True,True,9,9,46,44
0,0.17,0.8,147260001,38,True,True,False,False,True,True,9,9,45,38
0,0.17,0.8,147260001,39,True,False,False,True,True,True,9,7,35,37
0,0.17,0.8,147260001,40,False,True,True,False,True,True,9,9,47,37
0,0.17,0.8,147260001,41,True,True,False,False,True,True,9,9,44,49
0,0.17,0.8,147260001,42,False,True,True,False,True,True,9,9,47,49
0,0.17,0.8,147260001,43,False,False,True,True,True,True,4,4,25,26
0,0.17,0.8,147260001,44,True,True,False,False,True,True,9,9,39,45
0,0.17,0.8,147260001,45,True,True,False,False,True,True,9,9,35,46
0,0.17,0.8,147260001,46,True,False,False,True,True,True,9,9,52,54
0,0.17,0.8,147260001,47,False,False,True,True,True,True,9,2,59,43
0,0.17,0.8,147260001,48,True,True,False,False,True,True,9,9,41,47
0,0.17,0.8,147260001,49,False,True,True,False,True,True,7,9,65,32
0,0.17,0.8,147260001,50,True,True,False,False,True,True,9,9,45,47
0,0.17,0.8,147260001,51,True,True,False,False,True,True,9,9,72,47
0,0.17,0.8,147260001,52,False,True,True,False,True,True,5,9,47,60
0,0.17,0.8,147260001,53,True,True,False,False,True,True,9,9,45,50
0,0.17,0.8,147260001,54,True,True,False,False,True,True,9,9,46,45
0,0.17,0.8,147260001,55,True,True,False,False,True,True,9,9,44,38
0,0.17,0.8,147260001,56,True,True,False,False,True,True,9,9,59,50
0,0.17,0.8,147260001,57,False,True,True,False,True,True,9,9,53,52
0,0.17,0.8,147260001,58,True,True,False,False,True,True,9,9,54,32
0,0.17,0.8,147260001,59,True,True,False,False,True,True,9,9,43,40
0,0.17,0.8,147260001,60,True,True,False,False,True,True,9,9,60,51
0,0.17,0.8,147260001,61,True,True,False,False,True,True,9,9,43,39
0,0.17,0.8,147260001,62,True,True,False,False,True,True,9,9,34,57
0,0.17,0.8,147260001,63,False,True,True,False,True,True,9,9,33,56
0,0.17,0.8,147260001,64,True,True,False,False,True,True,9,9,43,47
0,0.17,0.8,147260001,65,False,True,True,False,True,True,7,9,64,31
0,0.17,0.8,147260001,66,True,True,False,False,True,True,9,9,47,53
0,0.17,0.8,147260001,67,True,False,False,True,True,True,9,9,54,44
0,0.17,0.8,147260001,68,True,False,False,True,True,True,9,5,35,60
0,0.17,0.8,147260001,69,True,True,False,False,True,True,9,9,38,34
0,0.17,0.8,147260001,70,True,False,False,True,True,True,9,9,58,47
0,0.17,0.8,147260001,71,True,False,False,True,True,True,9,8,42,49
0,0.17,0.8,147260001,72,True,True,False,False,True,True,9,9,51,58
0,0.17,0.8,147260001,73,True,True,False,False,True,True,9,9,65,47
0,0.17,0.8,147260001,74,True,True,False,False,True,True,9,9,54,35
0,0.17,0.8,147260001,75,True,True,False,False,True,True,9,9,46,32
0,0.17,0.8,147260001,76,True,True,False,False,True,True,9,9,52,57
0,0.17,0.8,147260001,77,True,True,False,False,True,True,9,9,39,36
0,0.17,0.8,147260001,78,True,True,False,False,True,True,9,9,42,43
0,0.17,0.8,147260001,79,True,False,False,True,True,True,9,6,44,56
0,0.17,0.8,147260001,80,True,False,False,True,True,True,9,7,35,71
0,0.17,0.8,147260001,81,True,False,False,True,True,True,9,9,29,53
0,0.17,0.8,147260001,82,True,True,False,False,True,True,9,9,35,40
0,0.17,0.8,147260001,83,True,True,False,False,True,True,9,9,56,60
0,0.17,0.8,147260001,84,True,True,False,False,True,True,9,9,47,29
0,0.17,0.8,147260001,85,True,True,False,False,True,True,9,9,38,54
0,0.17,0.8,147260001,86,False,True,True,False,True,True,3,9,39,75
0,0.17,0.8,147260001,87,True,True,False,False,True,True,9,9,69,38
0,0.17,0.8,147260001,88,True,True,False,False,True,True,9,9,37,40
0,0.17,0.8,147260001,89,True,True,False,False,True,True,9,9,70,40
0,0.17,0.8,147260001,90,True,True,False,False,True,True,9,9,59,47
0,0.17,0.8,147260001,91,False,False,True,True,True,True,8,8,78,79
0,0.17,0.8,147260001,92,False,True,True,False,True,True,9,9,50,44
0,0.17,0.8,147260001,93,True,True,False,False,True,True,9,9,49,57
0,0.17,0.8,147260001,94,True,True,False,False,True,True,9,9,48,39
0,0.17,0.8,147260001,95,True,True,False,False,True,True,9,9,62,39
0,0.17,0.8,147260001,96,True,False,False,True,True,True,9,9,44,53
0,0.17,0.8,147260001,97,False,True,True,False,True,True,8,9,61,53
0,0.17,0.8,147260001,98,True,True,False,False,True,True,9,9,34,51
0,0.17,0.8,147260001,99,True,True,False,False,True,True,9,9,45,48
0,0.17,0.8,147260001,100,True,True,False,False,True,True,9,9,55,43
0,0.17,0.8,147260001,101,True,True,False,False,True,True,9,9,51,37
0,0.17,0.8,147260001,102,True,True,False,False,True,True,9,9,40,53
0,0.17,0.8,147260001,103,True,False,False,True,True,True,9,7,50,35
0,0.17,0.8,147260001,104,True,True,False,False,True,True,9,9,32,50
0,0.17,0.8,147260001,105,True,True,False,False,True,True,9,9,64,48
0,0.17,0.8,147260001,106,False,True,True,False,True,True,9,9,33,62
0,0.17,0.8,147260001,107,True,True,False,False,True,True,9,9,61,69
0,0.17,0.8,147260001,108,True,True,False,False,True,True,9,9,49,53
0,0.17,0.8,147260001,109,True,True,False,False,True,True,9,9,51,40
0,0.17,0.8,147260001,110,True,True,False,False,True,True,9,9,41,39
0,0.17,0.8,147260001,111,False,True,True,False,True,True,9,9,50,36
