context_id,specialist_mode,evaluation_role,pair_index,evaluation_seed,environment_id,base_success,base_fell,base_failure_type,base_return,base_max_riser,best_success,best_fell,best_failure_type,best_return,best_max_riser
L_effect,lateral,target,83,105000000,83,True,False,success,11.672670364379883,9,True,False,success,11.332528114318848,9
L_effect,lateral,target,84,105000000,84,True,False,success,10.3101806640625,9,True,False,success,9.904623031616211,9
L_effect,lateral,target,85,105000000,85,True,False,success,9.093897819519043,9,False,True,lateral_heading_drift,-0.6813931465148926,9
L_effect,lateral,target,86,105000000,86,True,False,success,9.491374015808105,9,False,True,lateral_heading_drift,-0.43919897079467773,9
L_effect,lateral,target,87,105000000,87,True,False,success,9.239757537841797,9,False,True,lateral_heading_drift,-0.938814640045166,8
L_effect,lateral,target,88,105000000,88,False,True,lateral_heading_drift,-4.795888423919678,9,True,False,success,9.169315338134766,9
L_effect,lateral,target,89,105000000,89,False,True,lateral_heading_drift,-2.3536429405212402,7,False,True,lateral_heading_drift,0.029108047485351562,9
L_effect,lateral,target,90,105000000,90,True,False,success,8.25143051147461,9,True,False,success,10.027658462524414,9
L_effect,lateral,target,91,105000000,91,False,True,lateral_heading_drift,-1.5372397899627686,8,False,True,lateral_heading_drift,-1.098635196685791,8
L_effect,lateral,target,92,105000000,92,True,False,success,10.43604850769043,9,True,False,success,8.81119155883789,9
L_effect,lateral,target,93,105000000,93,True,False,success,9.137472152709961,9,True,False,success,10.34443187713623,9
L_effect,lateral,target,94,105000000,94,True,False,success,9.926227569580078,9,True,False,success,7.573003768920898,9
L_effect,lateral,target,95,105000000,95,False,True,lateral_heading_drift,-1.584822654724121,9,True,False,success,9.283573150634766,9
L_effect,lateral,target,96,105000000,96,False,True,lateral_heading_drift,-3.3181896209716797,9,True,False,success,9.46814250946045,9
L_effect,lateral,target,97,105000000,97,True,False,success,9.535261154174805,9,True,False,success,10.071758270263672,9
L_effect,lateral,target,98,105000000,98,True,False,success,8.832706451416016,9,True,False,success,9.703317642211914,9
L_effect,lateral,target,99,105000000,99,True,False,success,12.117105484008789,9,True,False,success,11.664289474487305,9
L_effect,lateral,target,100,105000000,100,True,False,success,5.900644302368164,9,True,False,success,10.87551498413086,9
L_effect,lateral,target,101,105000000,101,True,False,success,8.841899871826172,9,True,False,success,9.767580032348633,9
L_effect,lateral,target,102,105000000,102,False,True,lateral_heading_drift,-1.578902244567871,9,False,True,contact_stability,-0.22785162925720215,6
L_effect,lateral,target,103,105000000,103,False,True,lateral_heading_drift,-1.396902322769165,9,True,False,success,11.403493881225586,9
L_effect,lateral,target,104,105000000,104,True,False,success,13.619027137756348,9,False,True,lateral_heading_drift,-0.012640953063964844,9
L_effect,lateral,target,105,105000000,105,True,False,success,9.807700157165527,9,True,False,success,10.346427917480469,9
L_effect,lateral,target,106,105000000,106,False,True,lateral_heading_drift,0.1623702049255371,7,True,False,success,10.331315994262695,9
L_effect,lateral,target,107,105000000,107,True,False,success,9.945345878601074,9,False,True,lateral_heading_drift,-0.8048746585845947,9
L_effect,lateral,target,108,105000000,108,True,False,success,11.896505355834961,9,True,False,success,12.169978141784668,9
L_effect,lateral,target,109,105000000,109,False,True,lateral_heading_drift,-1.1770641803741455,9,True,False,success,10.621664047241211,9
L_effect,lateral,target,110,105000000,110,True,False,success,12.312917709350586,9,True,False,success,11.436147689819336,9
L_effect,lateral,target,111,105000000,111,True,False,success,11.365701675415039,9,True,False,success,11.29989242553711,9
L_effect,lateral,target,112,105000000,112,True,False,success,10.496601104736328,9,True,False,success,10.615342140197754,9
L_effect,lateral,target,113,105000000,113,True,False,success,11.257344245910645,9,True,False,success,10.561749458312988,9
L_effect,lateral,target,114,105000000,114,False,True,lateral_heading_drift,-0.05378103256225586,9,True,False,success,9.96990966796875,9
L_effect,lateral,target,115,105000000,115,True,False,success,10.16727352142334,9,True,False,success,10.80311107635498,9
L_effect,lateral,target,116,105000000,116,False,True,lateral_heading_drift,-0.5472855567932129,9,False,True,lateral_heading_drift,-1.7884283065795898,7
L_effect,lateral,target,117,105000000,117,True,False,success,9.401082038879395,9,False,True,lateral_heading_drift,-0.41869497299194336,7
L_effect,lateral,target,118,105000000,118,True,False,success,9.688596725463867,9,False,True,lateral_heading_drift,-3.9454352855682373,8
L_effect,lateral,target,119,105000000,119,True,False,success,11.19393253326416,9,True,False,success,10.916088104248047,9
L_effect,lateral,target,120,105000000,120,True,False,success,9.432445526123047,9,True,False,success,9.578185081481934,9
L_effect,lateral,target,121,105000000,121,True,False,success,8.923280715942383,9,False,True,lateral_heading_drift,0.9751443862915039,9
L_effect,lateral,target,122,105000000,122,False,True,lateral_heading_drift,2.542905330657959,9,True,False,success,12.017147064208984,9
L_effect,lateral,target,123,105000000,123,True,False,success,10.986390113830566,9,True,False,success,9.783605575561523,9
L_effect,lateral,target,124,105000000,124,False,True,lateral_heading_drift,-0.9712381362915039,9,True,False,success,11.79383373260498,9
L_effect,lateral,target,125,105000000,125,False,True,lateral_heading_drift,-0.7174851894378662,6,False,True,lateral_heading_drift,-2.7128162384033203,7
L_effect,lateral,target,126,105000000,126,True,False,success,7.685132026672363,9,True,False,success,8.901182174682617,9
L_effect,lateral,target,127,105000000,127,False,True,contact_stability,-0.6323103904724121,4,True,False,success,9.501760482788086,9
L_effect,lateral,target,128,105000001,0,True,False,success,12.21837329864502,9,False,True,lateral_heading_drift,-0.5038046836853027,8
L_effect,lateral,target,129,105000001,1,True,False,success,10.292638778686523,9,True,False,success,12.370731353759766,9
L_effect,lateral,target,130,105000001,2,False,True,lateral_heading_drift,-1.527489185333252,7,False,True,lateral_heading_drift,-0.27359509468078613,9
L_effect,lateral,target,131,105000001,3,True,False,success,9.856968879699707,9,True,False,success,10.211345672607422,9
L_effect,lateral,target,132,105000001,4,True,False,success,9.375633239746094,9,False,True,lateral_heading_drift,-2.2497451305389404,9
L_effect,lateral,target,133,105000001,5,True,False,success,11.362942695617676,9,False,True,lateral_heading_drift,-0.5568454265594482,9
L_effect,lateral,target,134,105000001,6,True,False,success,10.727150917053223,9,True,False,success,7.75581169128418,9
L_effect,lateral,target,135,105000001,7,False,True,lateral_heading_drift,-1.719799518585205,8,True,False,success,8.715869903564453,9
L_effect,lateral,target,136,105000001,8,True,False,success,10.840611457824707,9,True,False,success,12.458049774169922,9
L_effect,lateral,target,137,105000001,9,True,False,success,9.703502655029297,9,True,False,success,9.826955795288086,9
L_effect,lateral,target,138,105000001,10,True,False,success,11.216499328613281,9,True,False,success,10.887103080749512,9
L_effect,lateral,target,139,105000001,11,True,False,success,10.851212501525879,9,True,False,success,9.58201789855957,9
L_effect,lateral,target,140,105000001,12,True,False,success,11.622634887695312,9,True,False,success,10.621542930603027,9
L_effect,lateral,target,141,105000001,13,True,False,success,11.21667766571045,9,True,False,success,11.102252960205078,9
L_effect,lateral,target,142,105000001,14,True,False,success,12.103551864624023,9,True,False,success,11.176671981811523,9
L_effect,lateral,target,143,105000001,15,True,False,success,10.566645622253418,9,True,False,success,8.960114479064941,9
L_effect,lateral,target,144,105000001,16,True,False,success,9.166897773742676,9,True,False,success,10.284334182739258,9
L_effect,lateral,target,145,105000001,17,False,True,lateral_heading_drift,-6.47144079208374,6,True,False,success,9.658868789672852,9
L_effect,lateral,target,146,105000001,18,False,True,lateral_heading_drift,-1.4731626510620117,9,True,False,success,10.109466552734375,9
L_effect,lateral,target,147,105000001,19,False,True,lateral_heading_drift,-0.6327207088470459,9,True,False,success,8.420795440673828,9
L_effect,lateral,target,148,105000001,20,False,True,lateral_heading_drift,1.7886004447937012,9,False,True,lateral_heading_drift,0.5928845405578613,8
L_effect,lateral,target,149,105000001,21,False,True,lateral_heading_drift,-0.11184835433959961,9,True,False,success,10.814033508300781,9
L_effect,lateral,target,150,105000001,22,True,False,success,11.190903663635254,9,True,False,success,12.073782920837402,9
L_effect,lateral,target,151,105000001,23,False,True,lateral_heading_drift,-1.044970989227295,8,False,True,lateral_heading_drift,-0.033101558685302734,9
L_effect,lateral,target,152,105000001,24,True,False,success,12.439695358276367,9,False,True,lateral_heading_drift,-2.436129093170166,5
L_effect,lateral,target,153,105000001,25,True,False,success,11.154382705688477,9,False,True,lateral_heading_drift,0.3070259094238281,9
L_effect,lateral,target,154,105000001,26,True,False,success,10.36103630065918,9,False,True,lateral_heading_drift,0.7425656318664551,8
L_effect,lateral,target,155,105000001,27,True,False,success,11.306838989257812,9,True,False,success,13.040358543395996,9
L_effect,lateral,target,156,105000001,28,True,False,success,10.269927978515625,9,True,False,success,10.950896263122559,9
L_effect,lateral,target,157,105000001,29,False,True,lateral_heading_drift,-1.437422513961792,9,True,False,success,9.63913345336914,9
L_effect,lateral,target,158,105000001,30,True,False,success,10.067882537841797,9,True,False,success,10.109186172485352,9
L_effect,lateral,target,159,105000001,31,True,False,success,11.139850616455078,9,True,False,success,10.958102226257324,9
L_effect,lateral,target,160,105000001,32,True,False,success,12.486472129821777,9,False,True,lateral_heading_drift,0.30425405502319336,9
L_effect,lateral,target,161,105000001,33,False,True,lateral_heading_drift,-2.6416680812835693,9,True,False,success,10.08223819732666,9
L_effect,lateral,target,162,105000001,34,True,False,success,11.347311019897461,9,False,True,lateral_heading_drift,-1.46400785446167,7
L_effect,lateral,target,163,105000001,35,True,False,success,10.227043151855469,9,True,False,success,10.421287536621094,9
L_effect,lateral,target,164,105000001,36,False,True,lateral_heading_drift,-0.6617038249969482,4,True,False,success,12.649925231933594,9
L_effect,lateral,target,165,105000001,37,False,True,lateral_heading_drift,-1.3772609233856201,4,False,True,lateral_heading_drift,-5.949936866760254,9
L_effect,lateral,target,166,105000001,38,True,False,success,10.540861129760742,9,True,False,success,8.850581169128418,9
