arm,context,training_seed,round,online_transitions,round_transition_count,round_falls,cumulative_falls,round_shield_recoveries,cumulative_shield_recoveries,round_nominal_violation_count,round_nominal_violation_fraction,cumulative_nominal_violation_fraction,round_executed_violation_count,round_executed_violation_fraction,cumulative_executed_violation_fraction,round_minimum_nominal_barrier_margin,round_minimum_executed_barrier_margin
reward_only_ft,F1,201357001,1,131072,131072,84,84,0,0,12616,0.09625244140625,0.09625244140625,12616,0.09625244140625,0.09625244140625,-41.8895263671875,-41.8895263671875
reward_only_ft,F1,201357001,2,262144,131072,73,157,0,0,12699,0.09688568115234375,0.09656906127929688,12699,0.09688568115234375,0.09656906127929688,-36.26216125488281,-36.26216125488281
reward_only_ft,F1,201357001,3,393216,131072,68,225,0,0,12368,0.0943603515625,0.09583282470703125,12368,0.0943603515625,0.09583282470703125,-35.86884689331055,-35.86884689331055
reward_only_ft,F1,201357001,4,524288,131072,63,288,0,0,12661,0.09659576416015625,0.0960235595703125,12661,0.09659576416015625,0.0960235595703125,-35.5240364074707,-35.5240364074707
reward_only_ft,F1,201357002,1,131072,131072,66,66,0,0,12252,0.093475341796875,0.093475341796875,12252,0.093475341796875,0.093475341796875,-40.43593215942383,-40.43593215942383
reward_only_ft,F1,201357002,2,262144,131072,59,125,0,0,12332,0.094085693359375,0.093780517578125,12332,0.094085693359375,0.093780517578125,-42.354698181152344,-42.354698181152344
reward_only_ft,F1,201357002,3,393216,131072,58,183,0,0,12404,0.094635009765625,0.09406534830729167,12404,0.094635009765625,0.09406534830729167,-42.739192962646484,-42.739192962646484
reward_only_ft,F1,201357002,4,524288,131072,81,264,0,0,12927,0.09862518310546875,0.09520530700683594,12927,0.09862518310546875,0.09520530700683594,-40.5709114074707,-40.5709114074707
reward_only_ft,F2,201357000,1,131072,131072,84,84,0,0,13594,0.1037139892578125,0.1037139892578125,13594,0.1037139892578125,0.1037139892578125,-48.51692199707031,-48.51692199707031
reward_only_ft,F2,201357000,2,262144,131072,87,171,0,0,13840,0.1055908203125,0.10465240478515625,13840,0.1055908203125,0.10465240478515625,-69.59677124023438,-69.59677124023438
reward_only_ft,F2,201357000,3,393216,131072,94,265,0,0,14177,0.10816192626953125,0.10582224527994792,14177,0.10816192626953125,0.10582224527994792,-126.80223083496094,-126.80223083496094
reward_only_ft,F2,201357000,4,524288,131072,85,350,0,0,13520,0.1031494140625,0.10515403747558594,13520,0.1031494140625,0.10515403747558594,-36.52369689941406,-36.52369689941406
reward_only_ft,F2,201357001,1,131072,131072,79,79,0,0,13239,0.10100555419921875,0.10100555419921875,13239,0.10100555419921875,0.10100555419921875,-37.76762771606445,-37.76762771606445
reward_only_ft,F2,201357001,2,262144,131072,79,158,0,0,13357,0.10190582275390625,0.1014556884765625,13357,0.10190582275390625,0.1014556884765625,-42.06880569458008,-42.06880569458008
reward_only_ft,F2,201357001,3,393216,131072,92,250,0,0,13426,0.1024322509765625,0.10178120930989583,13426,0.1024322509765625,0.10178120930989583,-45.90858459472656,-45.90858459472656
reward_only_ft,F2,201357001,4,524288,131072,83,333,0,0,13694,0.1044769287109375,0.10245513916015625,13694,0.1044769287109375,0.10245513916015625,-34.52601623535156,-34.52601623535156
reward_only_ft,F2,201357002,1,131072,131072,91,91,0,0,13954,0.1064605712890625,0.1064605712890625,13954,0.1064605712890625,0.1064605712890625,-1326.117919921875,-1326.117919921875
reward_only_ft,F2,201357002,2,262144,131072,102,193,0,0,13343,0.10179901123046875,0.10412979125976562,13343,0.10179901123046875,0.10412979125976562,-44.87507247924805,-44.87507247924805
reward_only_ft,F2,201357002,3,393216,131072,81,274,0,0,13502,0.1030120849609375,0.10375722249348958,13502,0.1030120849609375,0.10375722249348958,-39.902503967285156,-39.902503967285156
reward_only_ft,F2,201357002,4,524288,131072,88,362,0,0,13345,0.10181427001953125,0.103271484375,13345,0.10181427001953125,0.103271484375,-87.49455261230469,-87.49455261230469
reward_only_ft,F3,201357000,1,131072,131072,90,90,0,0,12621,0.09629058837890625,0.09629058837890625,12621,0.09629058837890625,0.09629058837890625,-43.13506317138672,-43.13506317138672
reward_only_ft,F3,201357000,2,262144,131072,84,174,0,0,12307,0.09389495849609375,0.0950927734375,12307,0.09389495849609375,0.0950927734375,-38.20174026489258,-38.20174026489258
reward_only_ft,F3,201357000,3,393216,131072,85,259,0,0,12770,0.0974273681640625,0.0958709716796875,12770,0.0974273681640625,0.0958709716796875,-38.68525314331055,-38.68525314331055
reward_only_ft,F3,201357000,4,524288,131072,73,332,0,0,12437,0.09488677978515625,0.09562492370605469,12437,0.09488677978515625,0.09562492370605469,-36.93618392944336,-36.93618392944336
reward_only_ft,F3,201357001,1,131072,131072,71,71,0,0,12592,0.0960693359375,0.0960693359375,12592,0.0960693359375,0.0960693359375,-55.32066345214844,-55.32066345214844
reward_only_ft,F3,201357001,2,262144,131072,89,160,0,0,12953,0.09882354736328125,0.09744644165039062,12953,0.09882354736328125,0.09744644165039062,-42.27592468261719,-42.27592468261719
reward_only_ft,F3,201357001,3,393216,131072,102,262,0,0,13139,0.10024261474609375,0.09837849934895833,13139,0.10024261474609375,0.09837849934895833,-55.50580596923828,-55.50580596923828
reward_only_ft,F3,201357001,4,524288,131072,81,343,0,0,12618,0.0962677001953125,0.09785079956054688,12618,0.0962677001953125,0.09785079956054688,-37.07627487182617,-37.07627487182617
reward_only_ft,F3,201357002,1,131072,131072,100,100,0,0,13434,0.1024932861328125,0.1024932861328125,13434,0.1024932861328125,0.1024932861328125,-41.68607711791992,-41.68607711791992
reward_only_ft,F3,201357002,2,262144,131072,76,176,0,0,12901,0.09842681884765625,0.10046005249023438,12901,0.09842681884765625,0.10046005249023438,-39.02753448486328,-39.02753448486328
reward_only_ft,F3,201357002,3,393216,131072,87,263,0,0,12929,0.09864044189453125,0.099853515625,12929,0.09864044189453125,0.099853515625,-39.58260726928711,-39.58260726928711
reward_only_ft,F3,201357002,4,524288,131072,82,345,0,0,12804,0.097686767578125,0.09931182861328125,12804,0.097686767578125,0.09931182861328125,-48.5550537109375,-48.5550537109375
