arm,context,training_seed,round,online_transitions,cbf_off_success_rate,cbf_on_success_rate,shield_gap,off_improvement_from_round_0,cbf_off_fall_rate,cbf_on_fall_rate,cbf_off_mean_reached_riser,cbf_on_mean_reached_riser,cbf_off_mean_return,cbf_on_mean_return,cbf_off_mean_completion_time_s,cbf_on_mean_completion_time_s,cbf_off_mean_success_completion_time_s,cbf_on_mean_success_completion_time_s,cbf_off_nominal_violation_steps_per_riser,cbf_on_nominal_violation_steps_per_riser,cbf_off_would_intervene_fraction,cbf_on_would_intervene_fraction,cbf_off_mean_counterfactual_correction_norm,cbf_on_mean_correction_norm,cbf_off_unsafe_overlap_steps_per_riser,cbf_on_unsafe_overlap_steps_per_riser,cbf_off_toe_riser_kick_episode_rate,cbf_on_toe_riser_kick_episode_rate,cbf_off_toe_riser_kick_events_per_riser,cbf_on_toe_riser_kick_events_per_riser
reward_only_ft,F1,201357000,1,131072,0.76171875,0.7890625,0.02734375,0.03125,0.23828125,0.2109375,8.322265625,8.359375,-3.388427705504,-3.426679057534784,8.5666015625,8.0987890625,8.948820512820513,8.51589108910891,4.9312367988735035,4.366355140186916,0.095939445065092,0.09026233667263142,0.01980518940706667,0.021111765981156928,1.0002346866932645,0.7642523364485981,0.9921875,0.990234375,0.7937103966205116,0.6920560747663551
reward_only_ft,F1,201357000,2,262144,0.7578125,0.791015625,0.033203125,0.02734375,0.240234375,0.208984375,8.310546875,8.3984375,-3.4384189802221954,-3.2321475818753242,8.6411328125,8.064609375,9.00216494845361,8.477234567901235,4.967332549941245,4.248604651162791,0.09569057876345423,0.08860085055266549,0.019438546443556432,0.020484417195651656,1.000235017626322,0.7665116279069767,0.994140625,0.9921875,0.8025851938895417,0.7011627906976744
reward_only_ft,F1,201357000,4,524288,0.71875,0.7734375,0.0546875,-0.01171875,0.279296875,0.2265625,8.1328125,8.23828125,-3.615887248888612,-3.1660490590147674,8.502695312499998,7.9073828125,9.020652173913044,8.48838383838384,4.984630163304515,4.188952110004742,0.09551658711162361,0.0874578247187903,0.019020377370805794,0.02067955651531613,0.9750240153698367,0.7593646277856804,0.986328125,0.9921875,0.8081171950048031,0.6858700806069227
reward_only_ft,F1,201357001,0,0,0.73046875,0.77734375,0.046875,0.0,0.26953125,0.22265625,8.205078125,8.283203125,-3.7322639795020223,-3.4303955202922225,8.5195703125,7.9798828125,8.922032085561497,8.501557788944723,5.058081409188288,4.3617071445413815,0.09758781481973948,0.09067724013021025,0.020233213039292392,0.021106150861230747,1.0211854320399905,0.777175194529592,0.994140625,0.986328125,0.8076648417043562,0.7005423249233671
reward_only_ft,F1,201357001,1,131072,0.744140625,0.7890625,0.044921875,0.013671875,0.255859375,0.2109375,8.1328125,8.2734375,-3.0297901234589517,-3.279680270701647,8.3953515625,7.9662500000000005,8.87748031496063,8.467524752475247,4.812199807877041,4.267941454202077,0.09337849721525583,0.08881217636905696,0.01838181024941761,0.020834368184353837,0.9176272814601345,0.7759678942398489,0.986328125,0.978515625,0.7905859750240154,0.6997167138810199
reward_only_ft,F1,201357001,2,262144,0.73046875,0.763671875,0.033203125,0.0,0.26953125,0.236328125,8.123046875,8.2890625,-5.5106120854616165,-3.540561174508184,8.538984375,7.905312499999999,9.096684491978609,8.401125319693096,5.19235393123347,4.307492931196984,0.09897620289298163,0.09053445072538245,0.02749428992500508,0.021621165092685937,1.0418369800432796,0.803722902921772,0.990234375,0.986328125,0.8372204856936764,0.694392082940622
reward_only_ft,F1,201357001,4,524288,0.716796875,0.798828125,0.08203125,-0.013671875,0.283203125,0.201171875,8.126953125,8.36328125,-3.511028995271772,-3.0852727913297713,8.4149609375,8.069609374999999,8.933297002724796,8.546650366748166,4.9730833934150445,4.296590378327884,0.0962107110197147,0.0892091276103436,0.019025829708217673,0.02063706416898436,0.9817351598173516,0.753619803829986,0.994140625,0.9921875,0.8048546022590723,0.6889304063521718
reward_only_ft,F1,201357002,0,0,0.73046875,0.77734375,0.046875,0.0,0.26953125,0.22265625,8.205078125,8.283203125,-3.7322639795020223,-3.4303955202922225,8.5195703125,7.9798828125,8.922032085561497,8.501557788944723,5.058081409188288,4.3617071445413815,0.09758781481973948,0.09067724013021025,0.020233213039292392,0.021106150861230747,1.0211854320399905,0.777175194529592,0.994140625,0.986328125,0.8076648417043562,0.7005423249233671
reward_only_ft,F1,201357002,1,131072,0.7578125,0.7734375,0.015625,0.02734375,0.2421875,0.2265625,8.197265625,8.26953125,-3.037265114020556,-3.2158621600829065,8.42140625,7.974414062500001,8.89701030927835,8.516111111111112,4.77031212771027,4.292394898441191,0.09302001966714288,0.08917191212128633,0.01808560710383547,0.020948265909158836,0.873004527043126,0.730514879546528,0.994140625,0.974609375,0.7807958065284727,0.6683986773736419
reward_only_ft,F1,201357002,2,262144,0.740234375,0.77734375,0.037109375,0.009765625,0.259765625,0.22265625,8.166015625,8.216796875,-3.4234389062039554,-3.327251019887626,8.512421875000001,7.90453125,8.995250659630608,8.457939698492462,5.040899306386032,4.300927026384597,0.09693554456263365,0.08959457589594576,0.019006500562275676,0.021345290565272047,0.9521645539344654,0.7530306631804136,0.99609375,0.978515625,0.8057880889739297,0.6831471357261707
