domain,pair_index,evaluation_seed,environment_id,baseline_success,final_success,baseline_fell,final_fell,baseline_timed_out,final_timed_out,baseline_failure_type,final_failure_type,baseline_return,final_return,baseline_max_riser,final_max_riser,baseline_mean_slip_signal,final_mean_slip_signal,baseline_maximum_left_contact_slip_speed,final_maximum_left_contact_slip_speed,baseline_maximum_right_contact_slip_speed,final_maximum_right_contact_slip_speed,baseline_mean_contact_mismatch,final_mean_contact_mismatch,baseline_intervention_per_riser,final_intervention_per_riser,baseline_mean_correction_norm,final_mean_correction_norm,baseline_recovery_takeover,final_recovery_takeover
target,190,135000001,62,True,True,False,False,False,False,success,success,8.216434478759766,9.842184066772461,9,9,0.09262364357709885,0.07331344485282898,1.8743202686309814,2.0,2.0,2.0,0.13016527891159058,0.13562753796577454,0.0,0.0,6.432884447349352e-08,6.084827219865474e-08,False,False
target,191,135000001,63,True,True,False,False,False,False,success,success,8.787713050842285,10.561469078063965,9,9,0.08954284340143204,0.07767847180366516,2.0,2.0,2.0,1.172012448310852,0.1666666716337204,0.13907849788665771,1.1111111640930176,1.7777777910232544,0.0010787876090034842,0.0018041322473436594,True,True
target,192,135000001,64,False,True,True,False,False,False,contact_stability,success,-2.988731861114502,8.694217681884766,5,9,0.132403165102005,0.09125695377588272,2.0,1.5319775342941284,1.9959135055541992,2.0,0.20255474746227264,0.1436672955751419,1.600000023841858,0.3333333432674408,0.00213036360219121,0.00027550727827474475,False,True
target,193,135000001,65,False,True,True,False,False,False,contact_stability,success,-0.7479350566864014,9.835458755493164,5,9,0.1092098206281662,0.07815652340650558,2.0,1.386080026626587,1.4691081047058105,2.0,0.16231884062290192,0.13518518209457397,2.0,0.8888888955116272,0.0016978980274870992,0.001328646787442267,False,True
target,194,135000001,66,True,True,False,False,False,False,success,success,9.150030136108398,8.922414779663086,9,9,0.07938037812709808,0.08545935899019241,2.0,2.0,2.0,2.0,0.14152891933918,0.1488763988018036,0.5555555820465088,0.4444444477558136,0.0006565975490957499,0.00047901590005494654,True,True
target,195,135000001,67,True,True,False,False,False,False,success,success,10.213776588439941,9.709583282470703,9,9,0.08728344738483429,0.09348836541175842,2.0,1.886629343032837,2.0,2.0,0.14423076808452606,0.16144199669361115,1.0,0.4444444477558136,0.0009662951342761517,0.00039316629408858716,True,True
target,196,135000001,68,True,True,False,False,False,False,success,success,9.088865280151367,9.506580352783203,9,9,0.07801304757595062,0.0758121982216835,2.0,2.0,1.634192943572998,2.0,0.15085388720035553,0.1405109465122223,0.2222222238779068,0.6666666865348816,0.00015429159975610673,0.0005719519103877246,True,True
target,197,135000001,69,False,False,True,True,False,False,contact_stability,contact_stability,-2.0146284103393555,-2.4704084396362305,9,4,0.08778724074363708,0.13184607028961182,1.3403902053833008,2.0,1.5383094549179077,1.768688440322876,0.1563745141029358,0.20652173459529877,1.2222222089767456,0.75,0.005505618639290333,0.000591278774663806,False,False
target,198,135000001,70,True,True,False,False,False,False,success,success,10.321878433227539,9.114389419555664,9,9,0.07855337858200073,0.07702833414077759,2.0,1.9577882289886475,2.0,1.404691457748413,0.13213703036308289,0.1529160737991333,2.0,2.777777910232544,0.0030305562540888786,0.002852502977475524,True,True
target,199,135000001,71,True,True,False,False,False,False,success,success,4.702062606811523,9.167291641235352,9,9,0.1096111312508583,0.08278842270374298,2.0,2.0,2.0,2.0,0.1482919305562973,0.13381743431091309,1.3333333730697632,0.2222222238779068,0.0015636695316061378,0.00032788151293061674,True,True
target,200,135000001,72,False,True,True,False,False,False,lateral_heading_drift,success,-1.573455810546875,9.693568229675293,9,9,0.0911262258887291,0.08067051321268082,2.0,1.715614914894104,2.0,2.0,0.1681957244873047,0.14885495603084564,1.0,1.4444444179534912,0.0006931396783329546,0.0017962437123060226,False,True
target,201,135000001,73,True,False,False,True,False,False,success,lateral_heading_drift,8.023470878601074,-10.979484558105469,9,9,0.09143854677677155,0.11053731292486191,2.0,2.0,1.519655704498291,2.0,0.14739413559436798,0.18042226135730743,1.0,0.8888888955116272,0.0007364912889897823,0.0008469619788229465,True,False
target,202,135000001,74,False,True,True,False,False,False,contact_stability,success,-4.962695121765137,11.584248542785645,2,9,0.15264302492141724,0.07994936406612396,2.0,1.2281314134597778,2.0,2.0,0.27336448431015015,0.1318681389093399,9.0,1.7777777910232544,0.010526265949010849,0.0019376428099349141,False,True
target,203,135000001,75,True,True,False,False,False,False,success,success,7.955268859863281,9.509854316711426,9,9,0.07400276511907578,0.08220077306032181,1.575910210609436,2.0,2.0,1.819854736328125,0.1384015679359436,0.15065912902355194,0.1111111119389534,0.3333333432674408,0.0007769590010866523,0.0005350670544430614,True,True
target,204,135000001,76,True,True,False,False,False,False,success,success,9.65546989440918,9.038871765136719,9,9,0.07992012798786163,0.08555024862289429,2.0,1.5179362297058105,2.0,2.0,0.1362815946340561,0.13928571343421936,0.8888888955116272,0.8888888955116272,0.0013781540328636765,0.0016192588955163956,True,True
target,205,135000001,77,True,True,False,False,False,False,success,success,7.064382553100586,7.279627323150635,9,9,0.1056867241859436,0.09365155547857285,2.0,2.0,1.946106195449829,1.6825690269470215,0.15153846144676208,0.1664179116487503,1.0,2.6666667461395264,0.0009570516995154321,0.0030544812325388193,True,True
target,206,135000001,78,True,True,False,False,False,False,success,success,8.252129554748535,9.984822273254395,9,9,0.087372325360775,0.08696989715099335,1.7963353395462036,2.0,2.0,2.0,0.1583094596862793,0.15726496279239655,2.6666667461395264,2.0,0.0022007948718965054,0.0020262079779058695,True,True
target,207,135000001,79,False,True,True,False,False,False,contact_stability,success,-0.06850242614746094,10.643932342529297,8,9,0.09343814104795456,0.07695820927619934,1.3649846315383911,1.6282546520233154,2.0,1.9060837030410767,0.15354330837726593,0.1428571343421936,2.375,2.1111111640930176,0.005875654052942991,0.0016637657536193728,False,True
target,208,135000001,80,False,True,True,False,False,False,contact_stability,success,-3.408874034881592,11.117977142333984,6,9,0.10910577327013016,0.08051370084285736,1.6094237565994263,1.6484512090682983,2.0,2.0,0.17330677807331085,0.1447574347257614,8.5,1.6666666269302368,0.009461134672164917,0.0013952350709587336,False,True
target,209,135000001,81,True,True,False,False,False,False,success,success,9.42916488647461,9.21014404296875,9,9,0.07780354470014572,0.07967320829629898,2.0,1.828404426574707,1.8754088878631592,2.0,0.16257089376449585,0.14940577745437622,0.7777777910232544,0.5555555820465088,0.001245294464752078,0.0017533909995108843,True,True
target,210,135000001,82,False,True,True,False,False,False,contact_stability,success,-3.521181344985962,10.350951194763184,9,9,0.1023702472448349,0.07591445744037628,1.3843859434127808,1.332586646080017,2.0,2.0,0.1772823929786682,0.14010989665985107,0.0,0.4444444477558136,6.261176110911038e-08,0.0005855027702637017,False,True
target,211,135000001,83,True,False,False,True,False,False,success,contact_stability,9.947643280029297,-4.759786605834961,9,5,0.08735043555498123,0.11389527469873428,2.0,2.0,1.9372810125350952,2.0,0.15749655663967133,0.20668059587478638,1.6666666269302368,1.399999976158142,0.0019584880210459232,0.0010204968275502324,True,False
target,212,135000001,84,True,True,False,False,False,False,success,success,11.331111907958984,10.606520652770996,9,9,0.07880933582782745,0.08304786682128906,1.8352789878845215,2.0,1.9395127296447754,1.9749761819839478,0.12905718386173248,0.1433878093957901,2.222222328186035,1.4444444179534912,0.0016324106836691499,0.001142457826063037,True,True
target,213,135000001,85,False,False,True,True,False,False,contact_stability,contact_stability,-7.910457134246826,-6.762903213500977,9,3,0.08959971368312836,0.0822434276342392,2.0,1.4881327152252197,2.0,1.1385173797607422,0.18373070657253265,0.20769231021404266,0.4444444477558136,5.6666669845581055,0.0006735135102644563,0.01955358125269413,False,False
target,214,135000001,86,True,False,False,True,False,False,success,contact_stability,10.299827575683594,-3.2801260948181152,9,7,0.07861152291297913,0.13399048149585724,2.0,2.0,2.0,2.0,0.1292775720357895,0.17164179682731628,0.3333333432674408,1.2857143878936768,0.0004663551226258278,0.0008461499237455428,True,False
target,215,135000001,87,False,False,True,True,False,False,contact_stability,contact_stability,-0.7230453491210938,-4.314756393432617,9,3,0.0977463647723198,0.1090719923377037,2.0,1.4816395044326782,2.0,2.0,0.15570175647735596,0.20460358262062073,1.5555555820465088,11.666666984558105,0.0010639437241479754,0.015926312655210495,False,False
target,216,135000001,88,True,False,False,True,False,False,success,contact_stability,9.176252365112305,-4.3386945724487305,9,9,0.09086820483207703,0.1150079220533371,2.0,2.0,2.0,1.5901131629943848,0.11985688656568527,0.16541354358196259,0.6666666865348816,2.6666667461395264,0.0008443859405815601,0.01326901838183403,True,False
target,217,135000001,89,True,False,False,True,False,False,success,lateral_heading_drift,11.245292663574219,-0.9215507507324219,9,5,0.06900501996278763,0.09680354595184326,1.8395169973373413,1.1701679229736328,2.0,1.2126340866088867,0.1335616409778595,0.16053922474384308,1.0,1.0,0.001686303410679102,0.0012738220393657684,True,False
target,218,135000001,90,True,True,False,False,False,False,success,success,9.17385196685791,9.805269241333008,9,9,0.08644566684961319,0.09258194267749786,2.0,1.9700636863708496,2.0,2.0,0.13750000298023224,0.13181817531585693,0.3333333432674408,0.4444444477558136,0.0004223368305247277,0.0008686153450980783,True,True
target,219,135000001,91,True,True,False,False,False,False,success,success,7.829784870147705,7.666547775268555,9,9,0.07924265414476395,0.08751844614744186,1.7789362668991089,1.2453962564468384,1.6797254085540771,2.0,0.1432078629732132,0.15809379518032074,1.4444444179534912,1.6666666269302368,0.002074313350021839,0.002159304218366742,True,True
target,220,135000001,92,False,True,True,False,False,False,contact_stability,success,-3.626546621322632,11.563541412353516,9,9,0.11149653792381287,0.07769392430782318,2.0,1.3912537097930908,2.0,2.0,0.17768594622612,0.14380165934562683,1.2222222089767456,1.1111111640930176,0.001712349010631442,0.0009468742646276951,False,True
target,221,135000001,93,True,False,False,True,False,False,success,contact_stability,8.989762306213379,-1.642798900604248,9,2,0.0908915102481842,0.11509696394205093,2.0,1.9541586637496948,1.4981746673583984,1.7915726900100708,0.1377633661031723,0.19341562688350677,0.8888888955116272,6.5,0.0008044964633882046,0.00363218504935503,True,False
target,222,135000001,94,False,False,True,True,False,False,lateral_heading_drift,contact_stability,-1.1870675086975098,-3.3987882137298584,7,1,0.09186865389347076,0.09193909168243408,2.0,1.4913054704666138,1.652016282081604,1.8026965856552124,0.15603645145893097,0.2430555522441864,2.0,1.0,0.0023841653019189835,5.688489181920886e-05,False,False
target,223,135000001,95,True,True,False,False,False,False,success,success,8.986421585083008,9.915428161621094,9,9,0.08138387650251389,0.07695378363132477,1.8056143522262573,2.0,1.8433421850204468,2.0,0.13740457594394684,0.1405038684606552,0.3333333432674408,0.2222222238779068,0.0004961569211445749,0.00020300423784647137,True,True
target,224,135000001,96,True,True,False,False,False,False,success,success,5.08218240737915,7.304061412811279,9,9,0.1122337058186531,0.09207069128751755,2.0,2.0,2.0,2.0,0.1565295159816742,0.16211877763271332,0.8888888955116272,0.7777777910232544,0.0014734931755810976,0.0012393725337460637,True,True
target,225,135000001,97,True,True,False,False,False,False,success,success,6.54907751083374,10.419732093811035,9,9,0.10397952795028687,0.08386331796646118,2.0,1.5134961605072021,2.0,1.3908330202102661,0.15048544108867645,0.1386292725801468,1.5555555820465088,1.5555555820465088,0.0015586272347718477,0.0016398848965764046,True,True
target,226,135000001,98,True,True,False,False,False,False,success,success,2.6645755767822266,10.743202209472656,9,9,0.12392282485961914,0.07451370358467102,2.0,2.0,2.0,2.0,0.18232044577598572,0.12881097197532654,1.7777777910232544,2.222222328186035,0.0017619311111047864,0.0027817010413855314,True,True
target,227,135000001,99,True,True,False,False,False,False,success,success,9.984888076782227,9.76108169555664,9,9,0.07672950625419617,0.08618716895580292,2.0,1.998740315437317,2.0,1.9646402597427368,0.14488637447357178,0.13162879645824432,0.2222222238779068,0.2222222238779068,0.0001415710139553994,0.000199065005290322,True,True
target,228,135000001,100,True,False,False,True,False,False,success,contact_stability,5.791369915008545,-1.9938251972198486,9,9,0.12202650308609009,0.10707814991474152,1.5912461280822754,1.9996987581253052,2.0,1.7885938882827759,0.17575758695602417,0.1503378450870514,1.5555555820465088,0.5555555820465088,0.0020197166595607996,0.0004947862471453846,True,False
target,229,135000001,101,True,False,False,True,False,False,success,contact_stability,3.6629786491394043,-1.544504165649414,9,4,0.10363311320543289,0.11947811394929886,2.0,1.933095932006836,2.0,1.7595881223678589,0.15980114042758942,0.1949806958436966,2.3333332538604736,1.25,0.0029297112487256527,0.0008778158808127046,True,False
target,230,135000001,102,True,False,False,True,False,False,success,contact_stability,8.863301277160645,-2.9276247024536133,9,5,0.08462102711200714,0.12147925049066544,1.574958324432373,2.0,2.0,2.0,0.1378026157617569,0.16489361226558685,0.4444444477558136,1.600000023841858,0.0001471542491344735,0.007103725336492062,True,False
target,231,135000001,103,False,True,True,False,False,False,contact_stability,success,-1.5507454872131348,9.19094181060791,9,9,0.10188016295433044,0.08008012920618057,2.0,1.0504781007766724,2.0,2.0,0.16877636313438416,0.15478424727916718,1.2222222089767456,0.2222222238779068,0.002763516502454877,3.1284460419556126e-05,False,True
target,232,135000001,104,True,True,False,False,False,False,success,success,9.230018615722656,4.7129292488098145,9,9,0.09180287271738052,0.09928449988365173,2.0,1.6053532361984253,2.0,2.0,0.13809522986412048,0.1421947479248047,0.5555555820465088,1.888888955116272,0.0003682308306451887,0.0031380339059978724,True,True
target,233,135000001,105,True,False,False,True,False,False,success,contact_stability,9.712821960449219,-1.9221723079681396,9,5,0.08464118838310242,0.10180380195379257,2.0,1.4300183057785034,1.6280295848846436,2.0,0.1318785548210144,0.1982758641242981,0.8888888955116272,1.8000000715255737,0.000934205309022218,0.0014027045108377934,True,False
target,234,135000001,106,True,False,False,True,False,False,success,contact_stability,11.104377746582031,-1.564117193222046,9,4,0.08446765691041946,0.11540352553129196,2.0,1.8682241439819336,2.0,2.0,0.14491653442382812,0.17966102063655853,1.888888955116272,2.75,0.001937833963893354,0.0035706746857613325,True,False
target,235,135000001,107,True,True,False,False,False,False,success,success,10.862091064453125,11.47907829284668,9,9,0.08126010000705719,0.07558990269899368,2.0,2.0,2.0,2.0,0.13852459192276,0.14788731932640076,1.2222222089767456,1.3333333730697632,0.001348448102362454,0.001315230387263,True,True
target,236,135000001,108,True,True,False,False,False,False,success,success,9.496307373046875,8.604883193969727,9,9,0.0813707783818245,0.08409593254327774,2.0,2.0,2.0,2.0,0.14102564752101898,0.13755019009113312,0.6666666865348816,0.2222222238779068,0.0006235127802938223,0.0006257185596041381,True,True
target,237,135000001,109,True,True,False,False,False,False,success,success,9.519767761230469,11.429793357849121,9,9,0.0963095873594284,0.081981360912323,2.0,2.0,1.5462037324905396,1.7350109815597534,0.142123281955719,0.1455882340669632,1.0,1.5555555820465088,0.0009240773506462574,0.001861997414380312,True,True
target,238,135000001,110,False,False,True,True,False,False,contact_stability,contact_stability,-0.29784417152404785,-3.4755046367645264,8,7,0.08474355936050415,0.11050626635551453,2.0,2.0,2.0,2.0,0.14910535514354706,0.1613588184118271,1.25,2.2857143878936768,0.0017051635077223182,0.006353654898703098,False,False
target,239,135000001,111,False,True,True,False,False,False,contact_stability,success,-1.68412446975708,9.319185256958008,5,9,0.12356077134609222,0.07713830471038818,2.0,2.0,2.0,2.0,0.17220903933048248,0.14365971088409424,6.800000190734863,1.4444444179534912,0.009205087088048458,0.001539054443128407,False,True
target,240,135000001,112,True,False,False,True,False,False,success,contact_stability,11.069437980651855,-1.7422075271606445,9,6,0.07232153415679932,0.10947667807340622,2.0,1.8128751516342163,2.0,2.0,0.1311754584312439,0.18292683362960815,0.6666666865348816,1.6666667461395264,0.000773799663875252,0.002415269613265991,True,False
target,241,135000001,113,True,True,False,False,False,False,success,success,9.470688819885254,9.059087753295898,9,9,0.0713881403207779,0.08450491726398468,2.0,2.0,2.0,2.0,0.1356736272573471,0.13593155145645142,0.7777777910232544,0.0,0.001456027734093368,6.122260742813523e-08,True,False
target,242,135000001,114,False,True,True,False,False,False,contact_stability,success,-2.2710037231445312,9.640522003173828,6,9,0.12585151195526123,0.08757003396749496,1.9588139057159424,2.0,1.7516924142837524,2.0,0.18427833914756775,0.12906309962272644,2.6666667461395264,0.1111111119389534,0.006348137278109789,3.151961209368892e-05,False,True
target,243,135000001,115,True,True,False,False,False,False,success,success,10.351561546325684,7.025409698486328,9,9,0.08002108335494995,0.10213153809309006,2.0,2.0,1.5015789270401,2.0,0.1299065500497818,0.1525862067937851,0.4444444477558136,0.6666666865348816,0.0005799272330477834,0.0007037594332359731,True,True
target,244,135000001,116,False,True,True,False,False,False,lateral_heading_drift,success,-1.6302375793457031,10.786346435546875,8,9,0.09849871695041656,0.08598898351192474,1.2172249555587769,2.0,2.0,1.6927101612091064,0.1750972718000412,0.14618973433971405,2.75,1.3333333730697632,0.0044793058186769485,0.0008295991574414074,False,True
target,245,135000001,117,True,True,False,False,False,False,success,success,9.910262107849121,9.121192932128906,9,9,0.08325254172086716,0.0836978480219841,1.5805189609527588,2.0,2.0,2.0,0.13816925883293152,0.15445859730243683,1.0,0.7777777910232544,0.0010004675714299083,0.0006688947905786335,True,True
target,246,135000001,118,True,True,False,False,False,False,success,success,9.102401733398438,10.379463195800781,9,9,0.08768768608570099,0.08162111788988113,2.0,2.0,1.6628689765930176,2.0,0.14312267303466797,0.1487603336572647,0.6666666865348816,0.3333333432674408,0.0005586796905845404,0.00016095962200779468,True,True
target,247,135000001,119,True,True,False,False,False,False,success,success,9.340974807739258,10.284905433654785,9,9,0.08179806917905807,0.08436685800552368,1.6484140157699585,2.0,2.0,2.0,0.14842455089092255,0.15264026820659637,0.8888888955116272,1.4444444179534912,0.0006053762044757605,0.0005788981798104942,True,True
target,248,135000001,120,True,True,False,False,False,False,success,success,10.565340042114258,9.651385307312012,9,9,0.07791794091463089,0.09119913727045059,2.0,2.0,1.8400993347167969,2.0,0.14869281649589539,0.1412859559059143,1.7777777910232544,1.3333333730697632,0.0014169822679832578,0.0015603462234139442,True,True
target,249,135000001,121,True,True,False,False,False,False,success,success,10.905420303344727,12.062966346740723,9,9,0.08338556438684464,0.08500102907419205,2.0,2.0,2.0,1.4716484546661377,0.14113475382328033,0.14905932545661926,2.3333332538604736,1.888888955116272,0.002344144508242607,0.001479912200011313,True,True
target,250,135000001,122,True,True,False,False,False,False,success,success,10.619372367858887,9.849584579467773,9,9,0.07738912105560303,0.08510321378707886,2.0,1.6228266954421997,2.0,2.0,0.12745097279548645,0.14886732399463654,0.7777777910232544,0.4444444477558136,0.0012618520995602012,0.0003317066002637148,True,True
target,251,135000001,123,False,False,True,True,False,False,contact_stability,contact_stability,-3.101339817047119,-5.941125392913818,8,6,0.11456898599863052,0.1064806804060936,2.0,2.0,2.0,2.0,0.17377398908138275,0.2100238800048828,1.5,3.3333334922790527,0.0020994062069803476,0.004418997559696436,False,False
target,252,135000001,124,True,True,False,False,False,False,success,success,10.535786628723145,11.892070770263672,9,9,0.08676919341087341,0.07347553968429565,2.0,1.9337852001190186,1.5535212755203247,2.0,0.1341463327407837,0.13219285011291504,1.6666666269302368,1.7777777910232544,0.001273655565455556,0.0010872294660657644,True,True
target,253,135000001,125,True,True,False,False,False,False,success,success,9.559290885925293,8.807884216308594,9,9,0.08892805874347687,0.08622810989618301,1.996013879776001,2.0,2.0,2.0,0.14324817061424255,0.1511193960905075,0.7777777910232544,0.3333333432674408,0.0008428704459220171,0.0006930793169885874,True,True
target,254,135000001,126,True,True,False,False,False,False,success,success,10.584366798400879,9.69023323059082,9,9,0.07914862036705017,0.08699548989534378,2.0,1.862235188484192,1.7916911840438843,1.8857512474060059,0.13969334959983826,0.15251299738883972,1.7777777910232544,1.4444444179534912,0.0016942578367888927,0.0011055903742089868,True,True
target,255,135000001,127,False,True,True,False,False,False,contact_stability,success,-5.265604496002197,3.858494281768799,9,9,0.10636893659830093,0.11787395179271698,2.0,1.9143130779266357,2.0,2.0,0.1750599592924118,0.1669691503047943,1.888888955116272,0.4444444477558136,0.016573520377278328,0.0004296287370380014,False,True
target,256,135000002,0,True,False,False,True,False,False,success,contact_stability,5.823154449462891,-4.93321418762207,9,5,0.10272381454706192,0.14278632402420044,2.0,2.0,2.0,2.0,0.14926590025424957,0.20058996975421906,0.7777777910232544,2.200000047683716,0.0007833554409444332,0.002095343079417944,True,False
target,257,135000002,1,False,False,True,True,False,False,contact_stability,contact_stability,-1.0649473667144775,-4.166465759277344,6,9,0.09197519719600677,0.12285066395998001,1.5301032066345215,2.0,1.8551931381225586,2.0,0.17478813230991364,0.17499999701976776,5.0,3.777777910232544,0.008576360531151295,0.004477288573980331,False,False
target,258,135000002,2,False,True,True,False,False,False,contact_stability,success,-4.016608238220215,9.831666946411133,1,9,0.0885085016489029,0.08503226935863495,1.4237720966339111,2.0,1.616819143295288,1.6084970235824585,0.23310811817646027,0.1473880559206009,2.0,0.3333333432674408,0.0031344247981905937,0.0006304619600996375,False,True
target,259,135000002,3,True,False,False,True,False,False,success,contact_stability,11.144935607910156,-3.3017098903656006,9,2,0.07207885384559631,0.09170293807983398,2.0,2.0,2.0,1.8390452861785889,0.1437908560037613,0.21394231915473938,1.4444444179534912,3.0,0.0013086277758702636,0.002487950725480914,True,False
target,260,135000002,4,True,True,False,False,False,False,success,success,10.393922805786133,11.077213287353516,9,9,0.09221828728914261,0.07802977412939072,2.0,1.9088598489761353,1.7701259851455688,2.0,0.14274193346500397,0.14946381747722626,1.6666666269302368,2.444444417953491,0.001512004411779344,0.0023267362266778946,True,True
target,261,135000002,5,True,False,False,True,False,False,success,contact_stability,10.465478897094727,-12.49262523651123,9,7,0.07330533862113953,0.12672315537929535,2.0,2.0,2.0,2.0,0.14157706499099731,0.18317757546901703,1.1111111640930176,4.857142925262451,0.0007221138803288341,0.017894629389047623,True,False
target,262,135000002,6,True,True,False,False,False,False,success,success,9.163114547729492,9.782039642333984,9,9,0.0994228720664978,0.07735931128263474,1.4231107234954834,2.0,2.0,1.9583683013916016,0.1473214328289032,0.13874346017837524,1.0,0.3333333432674408,0.0014276361325755715,0.0003091880353167653,True,True
target,263,135000002,7,False,True,True,False,False,False,lateral_heading_drift,success,-3.7100963592529297,7.812033653259277,9,9,0.10521110147237778,0.10465862601995468,2.0,2.0,1.2728002071380615,1.6586862802505493,0.14575645327568054,0.11935484409332275,0.2222222238779068,0.3333333432674408,8.290544792544097e-05,0.0002199492446379736,False,True
target,264,135000002,8,True,True,False,False,False,False,success,success,8.357892990112305,10.242229461669922,9,9,0.07494199275970459,0.08006369322538376,1.807030439376831,1.963937520980835,2.0,2.0,0.14179104566574097,0.131474107503891,0.2222222238779068,0.5555555820465088,0.0006106264772824943,0.0007764918264001608,True,True
target,265,135000002,9,True,True,False,False,False,False,success,success,4.920809745788574,10.19342041015625,9,9,0.08954920619726181,0.09845622628927231,2.0,2.0,1.9237282276153564,1.155129313468933,0.15921787917613983,0.15348102152347565,2.222222328186035,0.8888888955116272,0.002702462486922741,0.0006500083836726844,True,True
